"imdbid","year","rating","title","originalTitle","isAdult","startYear","runtimeMinutes","genres","averageRating","metascore","country","budget","open_usa","gross_usa","gross_world","won_oscar","oscars_won","nominated_oscar","oscars_nominations"
"0160399",2001,"no_women","Impostor","Impostor",FALSE,2001,95,"Drama,Mystery,Sci-Fi",6.2,33,"USA",3e+07,3022523,6285176,8694320,0,0,0,0
"0240772",2001,"no_talk","Ocean's Eleven","Ocean's Eleven",FALSE,2001,116,"Crime,Thriller",7.7,74,"USA",8.5e+07,38107822,183417150,450717150,0,0,0,0
"0212720",2001,"no_talk","A.I. Artificial Intelligence","A.I. Artificial Intelligence",FALSE,2001,146,"Drama,Sci-Fi",7.2,65,"USA;UK",1e+08,29352630,78616689,235926552,0,0,1,2
"0227984",2001,"no_women","Formula 51","The 51st State",FALSE,2001,93,"Action,Comedy,Crime",6.3,23,"UK;Canada",2.7e+07,2817719,5204007,12881605,0,0,0,0
"0260866",2001,"ok","Don't Say a Word","Don't Say a Word",FALSE,2001,113,"Drama,Mystery,Thriller",6.3,38,"USA;Australia;Switzerland;Canada",5e+07,17090474,55001642,100020092,0,0,0,0
"0268995",2001,"no_talk","The Majestic","The Majestic",FALSE,2001,152,"Drama,Romance",6.9,27,"USA",7.2e+07,4904339,27807266,37317558,0,0,0,0
"0211443",2001,"ok","Jason X","Jason X",FALSE,2001,91,"Action,Horror,Sci-Fi",4.4,25,"Canada;USA",1.1e+07,6649006,13121555,17077882,0,0,0,0
"0164334",2001,"ok","Along Came a Spider","Along Came a Spider",FALSE,2001,104,"Drama,Thriller",6.4,42,"USA;Germany;Canada",6e+07,16712407,74078174,105178561,0,0,0,0
"0198781",2001,"no_talk","Monsters, Inc.","Monsters, Inc.",FALSE,2001,92,"Adventure,Animation,Comedy",8,79,"USA",1.15e+08,62577067,289916256,632316649,1,1,0,0
"0218817",2001,"about_men","Antitrust","Antitrust",FALSE,2001,108,"Action,Crime,Drama",6.1,31,"USA",3e+07,5486209,11328094,18195610,0,0,0,0
"0261392",2001,"ok","Jay and Silent Bob Strike Back","Jay and Silent Bob Strike Back",FALSE,2001,104,"Comedy",6.8,51,"USA",2.2e+07,11018543,30085147,33788161,0,0,0,0
"0253126",2001,"ok","High Heels and Low Lifes","High Heels and Low Lifes",FALSE,2001,86,"Action,Comedy,Drama",6.2,39,"UK;USA",1e+07,113512,228194,2340411,0,0,0,0
"0126029",2001,"no_talk","Shrek","Shrek",FALSE,2001,90,"Adventure,Animation,Comedy",7.8,84,"USA",6e+07,42347760,267665011,484409218,1,1,0,0
"0251075",2001,"ok","Evolution","Evolution",FALSE,2001,101,"Comedy,Sci-Fi",6.1,40,"USA",8e+07,13408351,38345494,98376292,0,0,0,0
"0258273",2001,"ok","Lovely & Amazing","Lovely & Amazing",FALSE,2001,91,"Comedy,Drama,Romance",6.7,75,"USA",250000,91910,4222923,4677852,0,0,0,0
"0268978",2001,"no_talk","A Beautiful Mind","A Beautiful Mind",FALSE,2001,135,"Biography,Drama",8.2,72,"USA",5.8e+07,367151,170742341,316791257,1,4,0,0
"0162346",2001,"ok","Ghost World","Ghost World",FALSE,2001,111,"Comedy,Drama",7.3,88,"USA;UK;Germany",7e+06,98791,6217849,8764007,0,0,1,1
"0236348",2001,"ok","Josie and the Pussycats","Josie and the Pussycats",FALSE,2001,98,"Comedy,Music",5.4,47,"Canada;USA",3.9e+07,4562455,14271015,14866015,0,0,0,0
"0120737",2001,"no_talk","The Lord of the Rings: The Fellowship of the Ring","The Lord of the Rings: The Fellowship of the Ring",FALSE,2001,178,"Action,Adventure,Drama",8.8,92,"NewZealand;USA",9.3e+07,47211490,315544750,887832826,1,4,0,0
"0228333",2001,"ok","Ghosts of Mars","Ghosts of Mars",FALSE,2001,98,"Action,Horror,Sci-Fi",4.9,35,"USA",2.8e+07,3804452,8709640,14010832,0,0,0,0
"0247638",2001,"ok","The Princess Diaries","The Princess Diaries",FALSE,2001,111,"Comedy,Family,Romance",6.3,52,"USA;UK",2.6e+07,22862269,108248956,165335153,0,0,0,0
"0265666",2001,"ok","The Royal Tenenbaums","The Royal Tenenbaums",FALSE,2001,110,"Comedy,Drama",7.6,76,"USA",2.1e+07,276981,52364010,71441250,0,0,1,1
"0183790",2001,"about_men","A Knight's Tale","A Knight's Tale",FALSE,2001,132,"Action,Adventure,Romance",6.9,56,"USA",6.5e+07,16511391,56569702,117487473,0,0,0,0
"0146316",2001,"no_women","Lara Croft: Tomb Raider","Lara Croft: Tomb Raider",FALSE,2001,100,"Action,Adventure,Fantasy",5.8,33,"USA;UK;Japan;Germany",1.15e+08,47735743,131168070,274703340,0,0,0,0
"0166924",2001,"ok","Mulholland Dr.","Mulholland Dr.",FALSE,2001,147,"Drama,Mystery,Thriller",8,85,"France;USA",1.5e+07,587591,7220243,20129557,0,0,1,1
"0264761",2001,"ok","Kissing Jessica Stein","Kissing Jessica Stein",FALSE,2001,97,"Comedy,Drama,Romance",6.4,72,"USA",1e+06,346999,7025722,10013424,0,0,0,0
"0265086",2001,"no_women","Black Hawk Down","Black Hawk Down",FALSE,2001,144,"Drama,History,War",7.7,74,"USA;UK",9.2e+07,179823,108638745,172989651,1,2,0,0
"0250494",2001,"ok","Legally Blonde","Legally Blonde",FALSE,2001,96,"Comedy,Romance",6.3,59,"USA",1.8e+07,20377426,96520674,141774679,0,0,0,0
"0245574",2001,"no_women","Y Tu Mamá También","Y tu mamá también",FALSE,2001,106,"Drama",7.6,88,"Mexico",2e+06,408091,13839658,33616692,0,0,1,1
