Group,Mass
cicada,0.237
cicada,0.277
cicada,0.241
cicada,0.142
cicada,0.109
cicada,0.209
cicada,0.238
cicada,0.277
cicada,0.261
cicada,0.227
cicada,0.171
cicada,0.235
cicada,0.276
cicada,0.234
cicada,0.255
cicada,0.296
cicada,0.239
cicada,0.266
cicada,0.296
cicada,0.217
cicada,0.238
cicada,0.21
cicada,0.295
cicada,0.193
cicada,0.218
cicada,0.263
cicada,0.305
cicada,0.257
cicada,0.351
cicada,0.245
cicada,0.226
cicada,0.276
cicada,0.317
cicada,0.31
cicada,0.223
cicada,0.229
cicada,0.192
cicada,0.201
cicada,0.211
control,0.212
control,0.188
control,0.263
control,0.253
control,0.261
control,0.265
control,0.135
control,0.17
control,0.203
control,0.241
control,0.257
control,0.155
control,0.215
control,0.285
control,0.198
control,0.266
control,0.178
control,0.244
control,0.19
control,0.212
control,0.29
control,0.253
control,0.249
control,0.253
control,0.268
control,0.19
control,0.196
control,0.22
control,0.246
control,0.145
control,0.247
control,0.14
control,0.241
