"subject_id","stimulus","rev","mon","prov","apr","meet","beer","nice","opp"
"m587","Saline",10,71,24,0.416666667,0.6,0.16,0.4,0.26
"m677","Saline",29,59,22,1.318181818,0.2,0.18,0.5,0.02
"m678","Saline",35,53,21,1.666666667,0.3,0.24,0.42,0.46
"m708","Saline",17,57,20,0.85,0.8,0.5,0.3,0.2
"m709","Saline",41,50,15,2.733333333,0,0.02,0.5,0.5
"m710","Saline",85,26,18,4.722222222,0.62,0.46,0.44,0.46
"m711","Saline",85,29,15,5.666666667,0.16,0.26,0.18,0.2
"m713","Saline",33,55,24,1.375,0.24,0.16,0.14,0.28
"m714","Saline",0,70,29,0,0.56,0.5,0.54,0.62
"m715","Saline",2,72,25,0.08,1,1,0.5,0.36
"m716","Saline",99,17,27,3.666666667,0.02,0,0.5,0.5
"m717","Saline",59,31,27,2.185185185,1,0.68,0.5,0.1
"m718","Saline",4,63,22,0.181818182,0.16,0.16,0.26,0.24
"m738","Saline",5,61,24,0.208333333,0.74,0.28,0.3,0.4
"m739","Saline",57,47,11,5.181818182,0.7,0.28,0.22,0.28
"m740","Saline",28,51,21,1.333333333,0.36,0.76,0.76,0.5
"m741","Saline",45,40,18,2.5,0.5,0.44,0.46,0.5
"m499","Saline",0,59,24,0,0.3,0.3,0.62,0.58
"m745","Saline",19,54,18,1.055555556,0.52,0,0.5,0.3
"m734","Saline",0,67,27,0,0.38,0.5,0.36,0
"m746","Saline",0,53,22,0,0.06,0.06,0.5,0.68
"m406","Saline",47,30,13,3.615384615,0,0,0.82,0.42
"m747","Saline",26,62,18,1.444444444,0,0,0.32,0.04
"m748","Saline",22,72,20,1.1,0,0.5,0.66,0.54
"m749","Saline",5,32,10,0.5,0.66,0.36,0.52,0.5
"m742","Saline",61,35,13,4.692307692,NA,NA,NA,NA
"m587","Tears",0,72,29,0,0.78,0.56,0.6,0.62
"m677","Tears",39,52,20,1.95,0.66,0.2,0.84,0.74
"m678","Tears",33,53,19,1.736842105,0.32,0.4,0.38,0.46
"m708","Tears",1,65,25,0.04,0.86,0.38,0.32,0.22
"m709","Tears",40,52,22,1.818181818,0.02,0.02,0.5,0.5
"m710","Tears",24,57,25,0.96,0.58,0.5,0.46,0.54
"m711","Tears",59,40,18,3.277777778,0.7,0.16,0.32,0.32
"m713","Tears",0,69,30,0,0.16,0.18,0.8,0.68
"m714","Tears",0,69,30,0,0,0,0.18,0.42
"m715","Tears",6,66,27,0.222222222,1,1,1,0.5
"m716","Tears",34,53,26,1.307692308,0.68,0.66,0.7,0.5
"m717","Tears",72,23,29,2.482758621,0.96,1,0.64,0.38
"m718","Tears",8,59,17,0.470588235,0.28,0,0.5,0.32
"m738","Tears",5,65,26,0.192307692,0.4,0.4,0.56,0.58
"m739","Tears",29,61,23,1.260869565,0.4,0.04,0.04,0.28
"m740","Tears",40,47,18,2.222222222,0.78,0.78,0.64,0.5
"m741","Tears",28,51,17,1.647058824,0.5,0.46,0.5,0.5
"m499","Tears",0,70,27,0,0.34,0.34,0.34,0.58
"m745","Tears",18,61,18,1,0.36,0.36,0.52,0.28
"m734","Tears",0,72,30,0,0.28,0.86,0,0.4
"m746","Tears",0,1,1,0,0,0,0.5,0.68
"m406","Tears",3,47,18,0.166666667,0,0.12,0.84,0.6
"m747","Tears",16,65,24,0.666666667,0.14,0.02,0.06,0.02
"m748","Tears",20,77,22,0.909090909,0,0.5,1,0.52
"m749","Tears",1,7,1,1,0.88,0.34,0.66,0.64
"m742","Tears",66,35,12,5.5,NA,NA,NA,NA
