"country","isocode","continent","witchcraft","abslat","rugged","calsuit","distcoast","religiosity","kinshipsch","wgirl","wgige","wgicc","secure","taxeff","justsys","legit","conflocpolice","confjudsys","confnatgov","schautoembed","hofidv","hofuai","hofivr","uzloose","traditionwvs","creativewvs","riskwvs","chindependencewvs","chimaginewvs","crithink","trustinoutwvs","bloodfam","chtolerancewvs","mai","trustgen","trustnbrglp","trustoutwvs","trustbuspar","fairwvs","impfriendswvs","impleisurewvs","blood","charity","strangerhelp","whrhappy","subjhealthwvs","whrposaffect","whrnegaffect","controlwvs","whrfreechoice","fatalism","hardwork","bzsg","limgoodwvs","entrisk","disideas","patapp","hindex","rdtogdp","lngdppcppp","lnpovrat","lifexp","schyears","hdi","disastexp","droughtexp","disrichness","newconfreq","unemprate"
"Afghanistan","AFG","Asia",0.528860911914596,33.83319,2.5181463,566.62933,0.9224445,3.9101203542821,1.0345825,-1.6711588,-1.3843566,-1.4985125,2.75,1.25,2.8,1.3333334,0.485,0.2375,0.391666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59599733,NA,2.51,0.281074,3.5070214,NA,0.39471614,NA,NA,NA,3.1956286,0.2425,0.504166666666667,3.8066144,NA,0.58087313,0.30128288,NA,0.5448948,0.960424130279646,0.782727272727273,NA,NA,NA,NA,NA,NA,NA,7.579815,NA,62.181,NA,0.4945,12.99,1.216,199,0.03390155,11.399
"Albania","ALB","Europe",0.538291200151615,41.142673,3.4270582,1893.2494,0.047892928,2.59232208091144,0.79295874,-0.43869072,-0.16685663,-0.5616205,2,2,2.2,2.3333333,0.638461538461539,0.264,0.402,NA,NA,NA,14.508928,37.2,NA,NA,NA,0.3398095,0.16570038,4.48028326,1.3287452,0.6286262,0.74087995,7.22,0.16129404,3.2855136,1.9827534,0.33528274,4.3644066,3.1004674,2.6713624,2.3519168,0.214615384615385,0.403076923076923,5.028185,3.781446,0.65262234,0.3095805,5.8969955,0.63699436,0.469552038623196,0.779,NA,5.2867646,47.6979921291666,3.202697039,4.0149423504827,59.4374229128793,0.15421,9.33704,2.098018,77.278,10.2,0.7775,20.14,1.302,193,0,14.784
"Argentina","ARG","Americas",0.441157715533245,35.3959,0.77461064,1400.2582,0.3523024,3.13235347484836,-1.4368485,-0.6186909,-0.11865191,-0.41122907,2.25,3,3,3,0.476,0.294,0.385333333333333,0.5150001,46,86,61.830357,75,0.6116476,0.4674911,-0.67235565,0.39635456,0.24884184,3.136697054,0.9279979,0.63854855,0.654634,6.51,0.20112601,3.236745,2.3738587,0.4686003,5.204398,3.359354,3.1049323,9.317738,0.183333333333333,0.500666666666667,6.4487486,3.8051124,0.843937,0.267101,7.402194,0.76516277,NA,0.811538461538461,3.6,4.5431743,47.4236230083333,3.348996401,16.6816877119222,86.6275260631546,0.58852,10.06733,1.4508328,75.6713,10.1,0.837,9.55,1.203,216,0,7.69
"Armenia","ARM","Asia",0.591286955051879,40.293682,2.6884224,1580.6736,0.3483786,3.33368806211511,-0.55314255,-0.3536573,-0.11099154,-0.59910196,1.25,1.75,2.2,2,0.544285714285714,0.326428571428571,0.352857142857143,NA,NA,NA,NA,NA,0.9640011,0.08587904,-0.7885055,0.28788036,0.1428336,3.632326126,1.2815032,0.36722276,0.56839997,5.78,0.13118272,3.2712226,1.9384621,0.39199564,4.822198,3.3333185,3.0366614,0.1612758,0.0878571428571429,0.485,4.346937,3.460845,0.5521555,0.43118554,6.429508,0.5115494,0.843618593691473,0.357692307692308,3.61,4.50095,50.0292549541666,3.779797554,26.1384908757217,74.6284506500683,0.25069,9.26274,2.4132316,73.902,11.66751,0.762,14.55,1.267,203,0,17.397
"Austria","AUT","Europe",0.131566307502012,47.588528,3.5131805,1195.9772,0.24161652,2.39613216167053,-0.9984942,1.845445,1.6096171,1.5572519,4,4,3.8,3.6666667,0.85,0.69,0.45,1.4850001,55,70,62.723213,75.8,NA,NA,NA,0.6743041,0.23267406,4.054131031,0.97228426,NA,0.700446,6.06,0.3826181,3.5835607,2.4364405,0.69175434,6.1311164,3.3905244,3.2815244,NA,0.532142857142857,0.518571428571429,7.246876,3.904486,0.79192746,0.16731268,7.302291,0.90219104,0.341188443637335,0.86,2.75,3.82031,56.7906657875,3.851619959,100,93.5383247536871,3.07181,10.877751,-0.5276327,81.03658,12.3,0.91275,13.19,0.659,192,0,5.1870003
"Azerbaijan","AZE","Asia",0.467851645372027,40.28825,1.6715407,1811.293,0.5836595,3.1101233445146,0.21397384,-0.74790394,-0.52164626,-1.0525922,2.25,1.5,2.4,3,0.717142857142857,0.41,0.762857142857143,NA,NA,NA,21.651785,NA,1.2331889,-0.31736234,-0.8169162,0.59345704,0.16680641,4.249374866,1.1753814,NA,0.63877857,4.34,0.21345402,3.377924,1.8204116,0.39247853,5.364913,3.177232,2.9849505,NA,0.136428571428571,0.396428571428571,4.9536424,3.68592,0.57510877,0.23148097,6.4223075,0.6349219,0.935767586238446,0.761538461538461,3.66,3.9728913,57.7056249,4.211022854,3.4737133213658,65.0199887285499,0.22244,9.558951,NA,71.5718,10.47526,0.741,14.31,1.138,203,0.071458966,5.268
"Belgium","BEL","Europe",0.229459243941215,50.6418,0.38779688,1586.8147,0.113282844,2.10191763288619,-1.2691753,1.412801,1.4730235,1.5502055,4,3.75,3.6,3.3333333,0.776428571428571,0.505,0.435,1.04,75,94,56.69643,119.8,NA,NA,NA,0.3151711,0.1582996,3.959352732,NA,0,0.69261974,6.16,0.32135892,3.5677764,NA,0.5247155,6.14332,3.3698106,3.253111,47.230534,0.370769230769231,0.413846153846154,6.9730096,3.952786,0.8052887,0.23860013,6.4364996,0.8636753,0.50955424866129,0.8125,3.29,4.5163813,58.4954470375,4.182029724,87.0391134205453,96.4964300127295,2.45668,10.795582,-1.7147983,80.66683,11.92251,0.91975,11.38,0.828,192,0,7.821
"Bangladesh","BGD","Asia",0.217272026246506,23.84839,0.18641046,1538.4824,0.071057186,3.79624990023045,0.6166539,-0.7730832,-0.75139886,-0.9369799,1.25,1.5,1,3,0.683333333333333,0.731333333333334,0.766,NA,20,60,19.642857,6.6,NA,NA,NA,0.55616474,0.19475073,2.913437128,1.4022557,0.721186,0.69889504,7.45,0.19124116,3.3064053,1.9348371,0.29343775,NA,2.9721494,2.7885025,1.1550294,0.174,0.528666666666667,4.7498817,3.609751,0.64500993,0.23167798,6.4140472,0.74643713,0.772075969587793,0.932307692307692,NA,4.0523744,43.6465521666666,3.148226738,0.709776939136194,75.1006426185339,0.4,8.107039,4.0280266,70.6812,5.2,0.58675,28.28,0.437,204,0.061875403,4.236
"Bulgaria","BGR","Europe",0.548916557431003,42.765347,1.4794745,2260.803,0.14943863,2.77561226053581,-0.45021054,-0.075961225,0.14865148,-0.2208891,2.5,3,2.2,2.3333333,0.540769230769231,0.2125,0.260833333333333,0.01000011,30,85,15.848214,60.4,1.1003093,0.004450721,-0.6323641,0.43970212,0.15345396,3.219311476,1.0853405,0.7683854,0.5522134,2.42,0.08758149,3.1348886,2.1886501,0.32109463,4.6237717,3.2618847,2.9708056,4.8108754,0.186153846153846,0.38,4.40516,3.535445,0.59775996,0.22920322,5.8161545,0.63178253,0.749651180188949,0.419,3.48,5.2188516,46.4546799666666,3.590582132,31.4463358454021,79.1897722225515,0.95657,9.839749,1.4793292,74.19341,11,0.8035,11.88,1.184,202,0,9.348
"Bosnia","BIH","Europe",0.395080524428207,44.175125,2.31148,1981.8788,0.11681224,3.36128463464746,0.3483962,-0.2706451,-0.55605376,-0.36176124,3,3,2.6,2,0.666153846153846,0.305,0.199,-0.27000034,NA,NA,44.19643,51.9,NA,NA,NA,0.38947096,0.21990176,2.467986584,0.9499057,NA,0.6210321,2.71,0.059669737,3.0934963,2.2629561,0.35766488,4.595371,3.5366557,3.284955,NA,0.342307692307692,0.363846153846154,5.0178194,3.7551687,0.56439316,0.3223493,6.6619267,0.44509238,0.827979752443708,0.461,NA,5.476754,38.9543424041666,3.137771845,7.50839524449704,63.8753119014082,0.21897,9.383565,-0.35667497,76.4443,9.00115,0.7535,11.18,1.29,198,0.10919929,25.902
