"flagpole","location","country","height_m","freedom_index","notes"
"Cairo Flagpole","New Administrative Capital, Cairo","Egypt",202,41,""
"Saint Petersburg Flagpoles","Saint Petersburg","Russia",175,27,"Three flags: Russian Empire, Soviet Union,Russia."
"Jeddah Flagpole","King Abdullah Square, Jeddah","Saudi Arabia",171,10,""
"Dushanbe Flagpole","Dushanbe","Tajikistan",165,24,""
"National Flag Square Flagpole","Neftchiler Avenue, Bayil, Baku","Azerbaijan",162,23,""
"Kijong-dong Flagpole","Kijong-dong, Kaesong","North Korea",160,3,"Not free-standing."
"Holy Defence Garden Museum Flagpole","Tehran","Iran",150,16,""
"Ashgabat Flagpole","Ashgabat","Turkmenistan",133,7,""
"Aqaba Flagpole","Aqaba","Jordan",130,34,"Flag of the Arab Revolt."
"Attari Flagpole 2","Attari, Punjab","India",127,76,""
"Raghadan Flagpole","Amman","Jordan",127,34,""
"Hospet Flagpole","Hospet, Karnataka","India",123,76,""
"Abu Dhabi Flagpole","Abu Dhabi","United Arab Emirates",123,22,""
"Jumeirah Flagpole","Dubai","United Arab Emirates",123,22,""
"Sharjah Flagpole","Sharjah","United Arab Emirates",123,22,""
"Wagah Flagpole","Wagah","Pakistan",122,42,""
"Acuity Flagpole","Sheboygan, Wisconsin","United States",120,93,""
"Ajman Flagpole","Ajman","United Arab Emirates",120,22,""
"Ras Al Khaimah Flagpole","Ras Al Khaimah","United Arab Emirates",120,22,""
"Fujairah Flagpole","Fujairah","United Arab Emirates",120,22,""
"Umm Al Quwain Flagpole","Umm Al Quwain","United Arab Emirates",120,22,""
"Piedras Negras Flagpole","Piedras Negras","Mexico",120,65,""
"Kavak Flagpole","Kavak","Turkey",116,61,""
"Iguala Flagpole","Iguala","Mexico",114,65,""
"Rozhen Flagpole","Rozhen","Bulgaria",111,81,""
"Çamlıca Hill Flagpole","Çamlıca Hill, Istanbul","Turkey",111,61,""
"Ankara Flagpole","Ankara","Turkey",110,61,""
"Belgaum Flagpole","Belgaum, Karnataka","India",110,76,""
"Attari Flagpole 1","Attari border, Punjab","India",110,76,""
"Krestovy Island Flagpole","Saint Petersburg","Russia",105,27,"FC Zenit Flag."
"Kharviv Flagpole","Kharkiv","Ukraine",102,57,""
