"Animal","Caption","Age","Depicts_research","Want_as_pet","Seen_in_real_world","Support_conservation","One_word_comment"
"loris","informative",56,4,3,1,4,"experimentation"
"gorilla","informative",28,5,4,4,4,"GORILLA"
"gorilla","informative",38,4,1,1,3,"powerful"
"gorilla","informative",40,4,4,4,4,"I feel happy and wonder"
"loris","informative",68,4,4,2,4,"compassion"
"loris","informative",42,4,4,4,4,"research study"
"gorilla","no context",40,4,1,1,3,"inspiring "
"gorilla","informative",39,4,4,4,4,"THE WORDS ARE GENEROUS"
"gorilla","informative",57,4,4,4,4,"cute"
"loris","informative",32,2,3,5,5,"animals are wants more safety"
"loris","informative",25,4,4,4,4,"cutest in looks"
"loris","no context",26,4,4,4,5,"save wild animals"
"gorilla","informative",25,5,5,5,5,"this picture shown love between animals and humans"
"loris","no context",31,2,1,1,1,"Sad"
"loris","no context",42,4,3,4,4,"PITTY"
"gorilla","no context",25,4,4,5,4,"CHIMPANCY"
"gorilla","informative",40,5,5,4,3,"MONKEY"
"loris","informative",39,4,3,4,4,"sad"
"gorilla","no context",30,5,5,5,5,"gorilla"
"gorilla","informative",33,4,3,5,4,"to save this animals for next generation "
"loris","informative",34,2,1,1,5,"stealing"
"gorilla","no context",25,4,4,4,5,"The gorilla look very great and very nice to watch "
"gorilla","informative",36,5,1,1,5,"majestic"
"gorilla","no context",65,3,1,1,5,"magnificent"
"loris","informative",30,4,5,5,4,"caring"
"loris","no context",44,3,1,1,3,"What"
"loris","informative",73,5,1,1,2,"fierce"
"loris","informative",73,5,1,1,2,"fierce"
"loris","no context",29,4,4,4,4,"DIFFERENT"
"loris","no context",29,4,4,4,4,"DIFFERENT"
"gorilla","no context",29,5,4,4,4,"the gorilla is seeing that man"
"loris","informative",64,3,1,1,4,"what the hell is that thing"
"gorilla","informative",46,5,5,5,5,"cat"
"loris","no context",63,2,2,2,4,"fear"
"gorilla","no context",30,3,1,5,3,"Nature"
"gorilla","informative",30,5,5,4,4,"mountain gorillas"
"loris","informative",30,4,4,4,5," A Mouse is a small rodent with a pointed nose furry round body large ears and a long often hairless tail "
"loris","no context",56,2,2,2,2,"Creepy"
"loris","informative",30,4,4,4,4,"very nice"
"loris","informative",58,4,4,4,4,"good"
"loris","informative",63,4,4,5,4,"good"
"loris","informative",63,4,4,5,4,"good"
"gorilla","informative",28,4,4,3,4,"MOUNTAIN GORILLAS IN RESEARCH"
"gorilla","informative",28,4,4,3,4,"MOUNTAIN GORILLAS IN RESEARCH"
"loris","no context",47,4,5,4,5,"research subject"
"loris","informative",25,4,4,4,4,"Sad"
"loris","informative",25,4,2,5,5,"The post is very nice"
"gorilla","informative",25,4,4,3,5,"Whenever I hear the word future it always make my mind"
"gorilla","no context",32,5,5,5,5,"NICE"
"gorilla","no context",36,4,3,4,4,"save wildlife"
"gorilla","informative",51,4,5,3,4,"All animals are observed safely and humanely for research with the proper permits and training"
"loris","informative",25,4,4,4,4,"good"
"gorilla","no context",35,2,2,4,4,"good"
"gorilla","informative",36,5,4,5,4,"training"
"gorilla","no context",32,4,4,4,4,"CUTE AND GOOD PHOTOGRAPHY"
"gorilla","no context",32,4,4,4,4,"beautiful"
"loris","no context",38,4,4,1,4,"cute"
"loris","no context",35,4,4,4,4,"scientific research"
"loris","informative",49,4,2,1,1,"Innocent"
"loris","informative",25,4,4,4,4,"i think this post seeing on social platform is rare "
"gorilla","informative",32,5,4,2,5,"god's creation"
"gorilla","informative",25,3,3,3,3,"nice"
"loris","informative",60,2,1,1,5,"sad"
"loris","no context",27,2,1,1,2,"Scary"
"loris","no context",30,4,2,4,2,"Beautiful"
"gorilla","no context",32,4,4,5,4,"Back"
"gorilla","informative",44,4,4,4,4,"GORILLA"
"gorilla","informative",34,4,4,4,4,"Nice seanary to look "
"gorilla","no context",40,4,4,4,4,"I feel very wonder and happy"
"gorilla","no context",40,4,4,5,5,"WILDLIFE"
"loris","no context",65,4,3,4,3,"GOOD"
"gorilla","informative",32,4,1,1,4,"Peace"
"gorilla","no context",32,4,4,4,4,"Research"
"gorilla","no context",25,4,2,4,4,"The post is very nice"
"gorilla","informative",38,4,4,5,4,"care for the wild animals"
"gorilla","informative",29,4,1,1,4,"gorilla"
"gorilla","no context",30,5,5,5,3,"good"
"loris","no context",48,5,1,1,4,"Monkey"
"gorilla","no context",44,4,3,4,4,"good"
"gorilla","no context",32,3,1,4,4,"wild"
"loris","informative",30,1,1,1,1,"animal"
"gorilla","informative",25,1,5,5,5,"gorillas"
"loris","no context",66,2,2,5,4,"scrawny"
"gorilla","no context",42,4,4,2,4,"gorilla"
"loris","informative",42,5,2,2,5,"Cute"
"loris","informative",28,5,5,4,4,"Research"
"gorilla","no context",58,4,4,4,5,"None"
"loris","no context",19,4,4,4,4,"monkey"
"loris","informative",55,5,4,1,4,"wildlife"
"gorilla","informative",30,4,4,3,5,"mongey"
"loris","informative",30,4,5,5,5,"good"
"gorilla","no context",25,4,4,4,4,"CUTE"
"loris","informative",25,5,5,5,5,"very shoke"
"loris","informative",45,5,2,3,5,"save animals"
"gorilla","no context",25,4,4,4,4,"I think this post for create mindset to people for saving animals"
"gorilla","informative",30,5,5,5,5,"super"
"gorilla","informative",36,5,5,5,5,"animals"
"gorilla","no context",25,4,4,4,4,"Gorilla look very friendly "
"loris","no context",39,4,5,5,5,"TEN"
"loris","informative",33,5,2,1,2,"Cute"
"gorilla","no context",39,5,1,1,5,"Beauty"
"loris","no context",40,4,4,4,4,"Responsibility"
"gorilla","no context",27,5,4,4,5,"Animals save"
"gorilla","no context",27,5,4,4,5,"Animals save"
"gorilla","no context",27,5,4,4,5,"Animals save"
"gorilla","no context",27,5,4,4,5,"Animals save"
"gorilla","no context",27,5,4,4,5,"Animals save"
"loris","no context",30,5,5,4,4,"animal"
"loris","no context",50,1,1,4,1,"indifference"
"gorilla","informative",32,4,4,4,4,"mountain"
"loris","no context",53,3,1,2,2,"cute"
"loris","no context",57,4,4,4,4,"come to	dawn on"
"loris","informative",26,4,4,4,4,"AMAZING"
"loris","informative",38,4,1,2,2,"Exotic"
"loris","informative",59,4,4,4,4,"Wild Animals"
"gorilla","no context",40,4,4,4,4,"Very natural one"
"gorilla","no context",24,4,5,4,4,"NICE"
"loris","no context",25,4,4,1,4,"PETS"
"gorilla","informative",25,5,4,5,4,"all animals are observed safely and humanly"
"gorilla","informative",62,3,2,1,5,"free"
"gorilla","informative",46,5,5,5,5,"GORILLA "
"loris","no context",27,5,5,2,4,"Cute "
"gorilla","informative",39,4,4,4,4,"THE WIDLIFE ARE SO PATIENT"
"gorilla","informative",28,3,4,4,4,"nice look korilla"
"loris","informative",25,4,4,5,4,"goods"
"loris","no context",34,1,4,5,5,"excellent"
"gorilla","no context",32,4,1,1,1,"Cute"
"loris","no context",42,4,5,4,4,"good look"
"loris","informative",61,5,1,1,4,"unusual"
