"treatment","bike_move_right2","mv_wait2","permitted2","safe2","cycle_distance","mv_distance","commute_type2","state","gender","education"
"1_None","1_Agree","0_Disagree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","CA","Male","4-Year College"
"4_BMUFL","1_Agree","0_Disagree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","MotorVehicle","IA","Male","4-Year College"
"1_None","1_Agree","0_Disagree","1_Agree","1_Agree","Less than 10 miles","None","Other","IL","Female","4-Year College"
"2_STR","1_Agree","0_Disagree","1_Agree","1_Agree","Less than 10 miles","51 - 200 Miles","MotorVehicle","NC","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","None","Less than 50 miles","Other","AL","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","AR","Male","Community College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","CA","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","More than 200 Miles","MotorVehicle","CA","Male","High School"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","CA","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","CA","Male","Community College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","CA","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","CA","Female","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","CA","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","CA","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","CA","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","CA","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","CA","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","CA","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","Other","CA","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","CA","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","CA","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","51 - 200 Miles","MotorVehicle","CA","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","MotorVehicle","CA","Female","Graduate Degree"
"3_SLM","0_Disagree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","CA","Female","Graduate Degree"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","More than 200 Miles","MotorVehicle","CO","Male","4-Year College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","DC","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","None","Other","DC","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","DE","Male","Graduate Degree"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","More than 200 Miles","MotorVehicle","GA","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","None","Other","GA","Male","4-Year College"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","GA","Male","Community College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","GA","Male","Graduate Degree"
"4_BMUFL","0_Disagree","1_Agree","1_Agree","1_Agree","More than 50 miles","None","Other","GA","Male","Community College"
"1_None","0_Disagree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","MotorVehicle","GA","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","IL","Male","High School"
"2_STR","1_Agree","1_Agree","1_Agree","1_Agree","None","Less than 50 miles","Other","IL","Female","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","MotorVehicle","IL","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","IL","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","IL","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","None","Less than 50 miles","Other","LA","Female","Graduate Degree"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","Less than 10 miles","Less than 50 miles","MotorVehicle","LA","Female","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","More than 200 Miles","MotorVehicle","MA","Male","Graduate Degree"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","51 - 200 Miles","Other","MA","Male","4-Year College"
"1_None","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","More than 200 Miles","MotorVehicle","ME","Male","Community College"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","51 - 200 Miles","MotorVehicle","MI","Male","Graduate Degree"
"4_BMUFL","1_Agree","1_Agree","1_Agree","1_Agree","More than 50 miles","Less than 50 miles","Other","MN","Male","4-Year College"
"3_SLM","1_Agree","1_Agree","1_Agree","1_Agree","11 - 50 miles","Less than 50 miles","Other","MN","Male","4-Year College"
