"individual","year","sex","age","population","subspecies","grey_score_avg"
"Dalton",2000,"M",4,"NIRC","verus",2.39473684210526
"Fannie",2000,"F",8,"NIRC","verus",2.76315789473684
"Hugo",2000,"M",7,"NIRC","verus",2.625
"Shelby",2000,"F",4,"NIRC","verus",2.02631578947368
"Kent",2000,"M",5,"NIRC","verus",2.66447368421053
"Miff",2000,"F",7,"NIRC","verus",3.07236842105263
"Poncho",2000,"M",4,"NIRC","verus",2.45394736842105
"Hillary",2000,"F",9,"NIRC","verus",2.60526315789474
"Emmett",2000,"M",4,"NIRC","verus",2.51315789473684
"Abe",2000,"M",7,"NIRC","verus",2.39473684210526
"Moe",2000,"M",7,"NIRC","verus",2.67105263157895
"Jaybird",2000,"M",5,"NIRC","verus",2.30921052631579
"Dapples",2000,"M",8,"NIRC","verus",2.48026315789474
"JohnnysMom",2001,"F",41,"NIRC","verus",1.98026315789474
"Mabel",2001,"F",1,"NIRC","verus",2.51973684210526
"Shaq",2001,"M",5,"NIRC","verus",2.32894736842105
"Twirp",2001,"M",1,"NIRC","verus",2.44078947368421
"Hayden",2001,"M",7,"NIRC","verus",2.64473684210526
"LittleJoe",2001,"M",6,"NIRC","verus",2.08552631578947
"Rachel",2001,"F",6,"NIRC","verus",2.53289473684211
"Cash",2005,"M",12,"NGOGO","schweinfurthii",2.59868421052632
"Corea",2005,"F",21,"NGOGO","schweinfurthii",3.73684210526316
"Brownface",2005,"M",39,"NGOGO","schweinfurthii",2.09210526315789
"Berg",2005,"M",27,"NGOGO","schweinfurthii",2.75657894736842
"Dexter",2005,"M",20,"NGOGO","schweinfurthii",2.75657894736842
"Dizzy",2005,"M",28,"NGOGO","schweinfurthii",1.70394736842105
"Hare",2005,"M",36,"NGOGO","schweinfurthii",2.24342105263158
"Herbie",2005,"M",11,"NGOGO","schweinfurthii",1.76973684210526
"Bartoll",2005,"F",22,"NGOGO","schweinfurthii",2.90131578947368
"Garbo",2005,"F",49,"NGOGO","schweinfurthii",1.92763157894737
"Miles",2005,"M",24,"NGOGO","schweinfurthii",2.07894736842105
"Monk",2005,"M",33,"NGOGO","schweinfurthii",1.81578947368421
"Ornette",2005,"M",28,"NGOGO","schweinfurthii",1.59868421052632
