"spam","to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","viagra","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
"Not Spam","0","1",0,"0",2012-01-01 00:16:41,0,0,0,"no",0,0,0,11.37,202,"HTML","0",0,"0",0,"big"
"Not Spam","0","1",0,"0",2012-01-01 01:03:59,0,0,0,"no",0,0,0,10.504,202,"HTML","0",0,"0",1,"small"
"Not Spam","0","1",0,"0",2012-01-01 10:00:32,0,0,4,"no",1,0,0,7.773,192,"HTML","0",0,"0",6,"small"
"Not Spam","0","1",0,"0",2012-01-01 03:09:49,0,0,0,"no",0,0,0,13.256,255,"HTML","0",0,"0",48,"small"
"Not Spam","0","1",0,"0",2012-01-01 04:00:01,0,0,0,"no",0,0,2,1.231,29,"Text","0",0,"0",1,"none"
"Not Spam","0","1",0,"0",2012-01-01 04:04:46,0,0,0,"no",0,0,2,1.091,25,"Text","0",0,"0",1,"none"
"Not Spam","1","1",0,"1",2012-01-01 11:55:06,0,0,0,"no",0,0,0,4.837,193,"HTML","0",0,"0",1,"big"
"Not Spam","1","1",1,"1",2012-01-01 12:45:21,1,1,0,"no",0,0,0,7.421,237,"HTML","0",0,"0",18,"small"
"Not Spam","0","1",0,"0",2012-01-01 15:08:59,0,0,0,"no",0,0,0,3.051,69,"Text","0",0,"0",1,"small"
"Not Spam","0","1",0,"0",2012-01-01 12:12:00,0,0,0,"no",0,0,0,2.643,68,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-01 12:23:44,0,0,0,"no",0,0,0,0.869,25,"HTML","0",0,"0",2,"small"
"Not Spam","0","1",1,"0",2012-01-01 15:40:51,0,0,0,"no",0,0,0,4.02,79,"Text","1",0,"0",1,"small"
"Not Spam","0","1",0,"0",2012-01-01 21:00:18,0,0,0,"no",0,0,0,10.459,191,"HTML","0",0,"0",0,"big"
"Not Spam","0","1",1,"1",2012-01-01 13:38:32,0,0,0,"no",0,0,0,15.075,354,"HTML","1",0,"0",10,"small"
"Not Spam","0","1",2,"0",2012-01-01 17:32:53,0,0,2,"no",0,0,0,19.693,330,"HTML","1",0,"0",4,"big"
"Not Spam","0","1",1,"1",2012-01-01 17:40:14,0,0,0,"no",0,0,0,18.38,481,"HTML","1",0,"0",10,"small"
"Not Spam","0","1",0,"0",2012-01-01 23:42:16,0,0,5,"no",0,0,1,18.037,345,"HTML","0",1,"0",20,"small"
"Not Spam","0","1",2,"0",2012-01-01 18:54:46,0,0,0,"no",0,0,0,13.89,225,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-01 19:40:40,0,0,0,"no",0,0,0,0.596,33,"Text","1",0,"0",2,"small"
"Not Spam","0","1",0,"0",2012-01-01 19:58:14,0,0,0,"no",0,0,0,4.56,64,"HTML","0",0,"0",0,"none"
"Not Spam","0","1",0,"0",2012-01-01 20:05:45,0,0,0,"no",0,0,0,2.192,85,"HTML","0",0,"0",3,"big"
"Not Spam","0","1",0,"0",2012-01-01 20:05:47,2,2,9,"no",0,0,0,11.453,344,"HTML","0",0,"0",4,"big"
"Not Spam","0","1",0,"0",2012-01-02 01:07:22,0,0,21,"no",0,0,0,16.647,560,"HTML","0",0,"0",3,"small"
"Not Spam","0","1",0,"1",2012-01-01 20:07:20,0,0,0,"no",0,0,0,0.2,10,"Text","1",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-01 20:08:14,0,0,0,"no",0,0,0,4.938,69,"HTML","0",0,"0",0,"none"
"Not Spam","0","1",0,"0",2012-01-01 20:51:24,0,0,0,"no",0,0,0,2.228,45,"Text","1",0,"0",1,"small"
"Not Spam","0","1",1,"0",2012-01-01 21:16:39,0,0,0,"no",0,0,0,3.959,81,"Text","1",0,"0",1,"small"
"Not Spam","0","1",2,"0",2012-01-01 22:07:57,0,0,0,"no",0,0,0,4.549,67,"Text","1",0,"0",1,"small"
"Not Spam","0","1",0,"0",2012-01-01 21:58:42,0,0,0,"no",0,0,0,0.506,18,"Text","0",0,"0",0,"none"
"Not Spam","0","1",0,"0",2012-01-01 22:43:43,0,0,0,"no",0,0,0,2.207,57,"HTML","0",0,"0",5,"small"
"Not Spam","0","1",2,"1",2012-01-01 20:58:13,0,1,0,"no",0,0,0,0.235,17,"Text","0",0,"0",0,"none"
"Not Spam","1","1",2,"0",2012-01-02 12:09:45,0,0,0,"no",0,0,0,7.813,97,"Text","1",0,"0",1,"small"
"Not Spam","1","1",2,"0",2012-01-02 12:37:38,0,0,0,"no",0,0,0,10.614,118,"Text","1",0,"0",1,"small"
"Not Spam","1","1",3,"0",2012-01-02 07:41:11,0,0,0,"no",0,0,0,31.644,569,"HTML","1",0,"0",2,"big"
"Not Spam","0","1",0,"0",2012-01-02 08:35:56,0,0,0,"no",0,0,0,1.566,39,"Text","1",0,"0",3,"small"
"Not Spam","0","1",1,"0",2012-01-02 09:12:51,0,0,0,"no",0,0,0,45.842,881,"HTML","1",0,"0",5,"big"
"Not Spam","0","1",0,"0",2012-01-02 09:12:51,0,0,0,"no",0,0,0,2.317,30,"Text","0",0,"0",0,"big"
"Not Spam","1","1",1,"0",2012-01-02 14:50:47,0,0,0,"no",0,0,0,13.788,169,"Text","1",0,"0",3,"small"
"Not Spam","1","1",0,"0",2012-01-02 10:44:40,0,0,0,"no",0,0,0,2.196,57,"HTML","1",0,"0",1,"small"
"Not Spam","0","1",4,"0",2012-01-02 10:45:36,0,0,0,"no",0,0,0,11.438,125,"Text","1",0,"0",2,"small"
"Not Spam","0","1",5,"0",2012-01-02 11:48:26,0,0,0,"no",0,0,0,12.268,259,"Text","1",0,"0",2,"small"
"Not Spam","0","1",0,"0",2012-01-02 12:14:33,0,0,0,"no",0,0,0,1.541,51,"Text","0",0,"0",3,"small"
"Not Spam","1","1",1,"0",2012-01-02 09:27:07,0,0,0,"no",1,0,0,33.451,558,"HTML","1",0,"0",6,"big"
"Not Spam","0","1",6,"0",2012-01-02 09:39:04,0,0,0,"no",0,0,0,13.266,269,"Text","1",0,"0",2,"small"
"Not Spam","0","1",7,"0",2012-01-02 18:07:51,0,0,0,"no",0,0,0,0.334,9,"Text","1",0,"0",0,"small"
"Not Spam","1","1",0,"1",2012-01-02 13:22:55,0,0,6,"no",0,0,0,45.966,1231,"HTML","1",1,"0",29,"small"
"Not Spam","1","1",2,"0",2012-01-02 15:24:21,0,0,0,"no",0,0,0,8.718,185,"Text","1",0,"0",3,"small"
"Not Spam","0","1",0,"0",2012-01-02 15:55:03,0,0,0,"no",0,0,0,1.482,24,"HTML","0",0,"0",0,"none"
"Not Spam","0","1",0,"0",2012-01-02 21:37:50,0,0,0,"no",0,0,0,8.549,154,"HTML","0",0,"0",4,"small"
"Not Spam","0","1",0,"0",2012-01-02 19:07:17,0,0,0,"no",0,0,0,14.431,296,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-02 21:07:44,0,0,8,"no",0,0,0,24.167,417,"HTML","0",1,"0",32,"small"
"Not Spam","0","1",0,"0",2012-01-02 22:31:03,0,0,0,"no",0,0,2,1.143,13,"Text","0",0,"0",1,"none"
"Not Spam","0","1",0,"0",2012-01-03 03:34:50,0,0,11,"no",0,0,0,15.517,350,"HTML","0",1,"0",2,"small"
"Not Spam","0","1",0,"1",2012-01-02 22:34:50,0,0,6,"no",0,0,0,9.535,182,"HTML","1",0,"0",4,"small"
"Not Spam","0","1",0,"1",2012-01-02 23:31:45,0,0,6,"no",0,0,0,14.241,308,"HTML","1",0,"0",6,"small"
"Not Spam","0","1",0,"0",2012-01-02 23:41:35,0,0,5,"no",0,0,0,0.978,13,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-03 08:20:23,0,0,0,"no",0,0,0,7.472,207,"HTML","0",0,"0",0,"big"
"Not Spam","0","1",0,"1",2012-01-03 03:29:15,0,0,0,"no",0,0,0,1.398,41,"Text","0",0,"0",1,"none"
"Not Spam","0","1",0,"0",2012-01-03 10:02:35,0,0,4,"no",1,0,0,7.792,192,"HTML","0",0,"0",6,"small"
"Not Spam","0","1",0,"0",2012-01-03 05:14:51,0,0,0,"no",0,0,1,0.978,14,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-03 04:23:56,0,0,0,"no",0,0,0,10.09,166,"HTML","0",0,"0",1,"small"
"Not Spam","1","1",0,"0",2012-01-03 07:36:16,0,0,0,"no",0,0,0,5.159,95,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-03 07:33:28,0,0,18,"no",0,0,0,29.981,555,"HTML","0",0,"0",15,"small"
"Not Spam","0","1",0,"0",2012-01-03 07:48:23,0,0,16,"no",0,0,0,18.945,249,"HTML","0",1,"0",16,"small"
"Not Spam","0","1",0,"1",2012-01-03 08:38:47,0,0,0,"no",0,0,0,15.42,595,"HTML","0",0,"0",9,"big"
"Not Spam","1","1",0,"0",2012-01-02 11:49:31,0,0,0,"no",0,0,0,2.018,32,"Text","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-03 16:01:57,0,0,0,"no",0,0,0,0.988,25,"HTML","0",0,"0",2,"small"
"Not Spam","0","1",0,"1",2012-01-03 10:36:14,0,0,0,"no",0,0,0,0.159,11,"Text","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-03 18:40:36,0,0,0,"no",0,0,0,2.828,80,"HTML","1",0,"0",4,"small"
"Not Spam","0","1",0,"0",2012-01-03 11:41:35,0,0,2,"no",0,0,0,22.393,411,"HTML","0",0,"0",49,"small"
"Not Spam","0","1",0,"0",2012-01-03 12:45:58,0,0,2,"no",0,0,0,7.844,142,"HTML","0",1,"0",6,"small"
"Not Spam","1","1",0,"1",2012-01-03 10:18:59,0,0,0,"yes",0,0,0,4.77,134,"HTML","1",0,"0",10,"small"
"Not Spam","0","1",0,"0",2012-01-03 13:33:37,0,0,0,"no",0,0,0,0.795,30,"Text","0",0,"0",1,"none"
"Not Spam","0","1",2,"0",2012-01-03 13:55:52,0,0,0,"no",0,0,0,0.829,22,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-03 14:32:11,0,0,0,"no",0,0,0,0.432,13,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-03 19:44:27,0,0,21,"no",0,0,0,16.615,557,"HTML","0",0,"0",3,"small"
"Not Spam","0","1",0,"1",2012-01-03 14:59:23,0,0,0,"no",0,0,0,1.732,54,"HTML","1",0,"0",0,"small"
"Not Spam","1","1",0,"0",2012-01-03 15:14:13,0,1,0,"no",0,0,0,8.596,159,"HTML","0",0,"0",0,"small"
