Trial,Helium,Air,Difference
1,25,25,0
2,16,23,-7
3,25,18,7
4,14,16,-2
5,23,35,-12
6,29,15,14
7,25,26,-1
8,26,24,2
9,22,24,-2
10,26,28,-2
11,12,25,-13
12,28,19,9
13,28,27,1
14,31,25,6
15,22,34,-12
16,29,26,3
17,23,20,3
18,26,22,4
19,35,33,2
20,24,29,-5
21,31,31,0
22,34,27,7
23,39,22,17
24,32,29,3
25,14,28,-14
26,28,29,-1
27,30,22,8
28,27,31,-4
29,33,25,8
30,11,20,-9
31,26,27,-1
32,32,26,6
33,30,28,2
34,29,32,-3
35,30,28,2
36,29,25,4
37,29,31,-2
38,30,28,2
39,26,28,-2
