catID,sound,position,surprise,order,ID
n1,same,diff,2,1,h1
n1,same,diff,4,1,h2
n1,same,diff,4,1,h3
n1,same,diff,4,1,h4
n1,same,diff,2,1,h5
n1,same,diff,4,1,h6
n1,same,diff,4,1,h7
n1,same,diff,4,1,h8
n10,diff,diff,2,1,h1
n10,diff,diff,2,1,h2
n10,diff,diff,2,1,h3
n10,diff,diff,3,1,h4
n10,diff,diff,1,1,h5
n10,diff,diff,2,1,h6
n10,diff,diff,2,1,h7
n10,diff,diff,1,1,h8
n10,diff,same,1,2,h1
n10,diff,same,1,2,h2
n10,diff,same,1,2,h3
n10,diff,same,0,2,h4
n10,diff,same,1,2,h5
n10,diff,same,0,2,h6
n10,diff,same,2,2,h7
n10,diff,same,0,2,h8
n11,diff,diff,1,2,h1
n11,diff,diff,1,2,h2
n11,diff,diff,3,2,h3
n11,diff,diff,4,2,h4
n11,diff,diff,2,2,h5
n11,diff,diff,1,2,h6
n11,diff,diff,4,2,h7
n11,diff,diff,3,2,h8
n11,diff,same,1,1,h1
n11,diff,same,1,1,h2
n11,diff,same,0,1,h3
n11,diff,same,2,1,h4
n11,diff,same,1,1,h5
n11,diff,same,0,1,h6
n11,diff,same,1,1,h7
n11,diff,same,0,1,h8
n12,same,diff,1,1,h2
n12,same,diff,1,1,h3
n12,same,diff,1,1,h4
n12,same,diff,1,1,h5
n12,same,diff,2,1,h6
n12,same,diff,1,1,h7
n12,same,diff,3,1,h8
n12,same,same,1,1,h1
n13,same,same,4,1,h1
n13,same,same,0,1,h2
n13,same,same,0,1,h3
n13,same,same,3,1,h4
n13,same,same,0,1,h5
n13,same,same,2,1,h6
n13,same,same,1,1,h7
n13,same,same,0,1,h8
n14,same,diff,4,1,h1
n14,same,diff,1,1,h2
n14,same,diff,0,1,h3
n14,same,diff,4,1,h4
n14,same,diff,4,1,h5
n14,same,diff,0,1,h6
n14,same,diff,2,1,h7
n14,same,diff,3,1,h8
n14,same,same,3,2,h1
n14,same,same,1,2,h2
n14,same,same,2,2,h3
n14,same,same,2,2,h4
n14,same,same,2,2,h5
n14,same,same,2,2,h6
n14,same,same,3,2,h7
n14,same,same,1,2,h8
n15,diff,diff,1,1,h1
n15,diff,diff,1,1,h2
n15,diff,diff,0,1,h3
n15,diff,diff,1,1,h4
n15,diff,diff,1,1,h5
n15,diff,diff,0,1,h6
n15,diff,diff,1,1,h7
n15,diff,diff,1,1,h8
n15,diff,same,1,2,h1
n15,diff,same,1,2,h2
n15,diff,same,1,2,h3
n15,diff,same,0,2,h4
n15,diff,same,2,2,h5
n15,diff,same,0,2,h6
n15,diff,same,1,2,h7
n15,diff,same,0,2,h8
n16,same,diff,1,2,h1
n16,same,diff,0,2,h2
n16,same,diff,3,2,h3
n16,same,diff,0,2,h4
n16,same,diff,0,2,h5
n16,same,diff,0,2,h6
n16,same,diff,1,2,h7
n16,same,diff,0,2,h8
n17,diff,diff,2,1,h1
n17,diff,diff,2,1,h2
n17,diff,diff,3,1,h3
n17,diff,diff,0,1,h4
n17,diff,diff,2,1,h5
n17,diff,diff,1,1,h6
n17,diff,diff,1,1,h7
n17,diff,diff,0,1,h8
n17,diff,same,1,2,h1
n17,diff,same,1,2,h2
n17,diff,same,3,2,h3
n17,diff,same,1,2,h4
n17,diff,same,0,2,h5
n17,diff,same,0,2,h6
n17,diff,same,1,2,h7
n17,diff,same,0,2,h8
n18,same,same,2,1,h1
n18,same,same,0,1,h2
n18,same,same,2,1,h3
n18,same,same,0,1,h4
n18,same,same,1,1,h5
n18,same,same,0,1,h6
n18,same,same,1,1,h7
n18,same,same,0,1,h8
n19,same,diff,2,1,h1
n19,same,diff,0,1,h2
n19,same,diff,1,1,h3
n19,same,diff,1,1,h4
n19,same,diff,0,1,h5
n19,same,diff,1,1,h6
n19,same,diff,2,1,h7
n19,same,diff,1,1,h8
n19,same,same,1,2,h1
n19,same,same,0,2,h2
n19,same,same,0,2,h3
n19,same,same,0,2,h4
n19,same,same,0,2,h5
n19,same,same,0,2,h6
n19,same,same,1,2,h7
n19,same,same,0,2,h8
n20,same,diff,2,2,h1
n20,same,diff,3,2,h2
n20,same,diff,2,2,h3
n20,same,diff,4,2,h4
n20,same,diff,0,2,h5
n20,same,diff,2,2,h6
n20,same,diff,4,2,h7
n20,same,diff,3,2,h8
n20,same,same,2,1,h1
n20,same,same,1,1,h2
n20,same,same,1,1,h3
n20,same,same,3,1,h4
n20,same,same,0,1,h5
n20,same,same,0,1,h6
n20,same,same,4,1,h7
n20,same,same,2,1,h8
n21,diff,diff,1,1,h1
n21,diff,diff,0,1,h2
n21,diff,diff,0,1,h3
n21,diff,diff,0,1,h4
n21,diff,diff,0,1,h5
n21,diff,diff,0,1,h6
n21,diff,diff,1,1,h7
n21,diff,diff,0,1,h8
n21,diff,same,2,2,h1
n21,diff,same,1,2,h2
n21,diff,same,2,2,h3
n21,diff,same,0,2,h4
n21,diff,same,2,2,h5
n21,diff,same,0,2,h6
n21,diff,same,1,2,h7
n21,diff,same,0,2,h8
n22,diff,same,2,1,h1
n22,diff,same,2,1,h2
n22,diff,same,1,1,h3
n22,diff,same,2,1,h4
