"temp","mathcorrect","mathreported","sex","age"
"cool",12,13,"female",32
"cool",14,15,"female",28
"cool",15,19,"female",23
"cool",14,17,"female",22
"cool",11,13,"female",19
"cool",7,9,"female",19
"cool",10,11,"female",23
"cool",18,19,"female",22
"cool",10,18,"female",19
"cool",6,12,"female",23
"cool",7,9,"female",21
"cool",8,11,"female",25
"cool",10,12,"female",24
"cool",5,5,"female",20
"cool",3,11,"female",20
"cool",2,3,"female",20
"cool",8,14,"female",27
"cool",5,9,"female",24
"cool",10,13,"female",21
"cool",6,8,"female",27
"cool",7,7,"female",20
"cool",11,17,"female",22
"cool",15,18,"female",27
"cool",14,18,"female",27
"cool",5,7,"female",26
"cool",10,10,"female",26
"cool",6,6,"female",31
"cool",6,9,"female",23
"cool",5,6,"female",20
"cool",13,16,"female",25
"cool",12,13,"female",19
"cool",7,7,"female",20
"cool",10,11,"female",29
"cool",12,14,"female",19
"cool",8,8,"female",22
"cool",3,3,"female",29
"cool",15,16,"female",27
"cool",12,13,"female",23
"cool",11,13,"female",25
"cool",3,6,"female",40
"cool",7,7,"female",20
"cool",7,10,"female",21
"cool",4,7,"female",23
"cool",5,7,"female",20
"cool",8,10,"female",22
"cool",7,8,"female",30
"cool",9,9,"female",28
"cool",13,18,"female",19
"cool",6,10,"female",20
"cool",4,7,"female",28
"cool",7,11,"female",20
"cool",7,9,"female",34
"cool",7,12,"female",22
"cool",6,9,"female",19
"cool",4,6,"female",19
"cool",7,7,"female",21
"cool",11,14,"female",29
"cool",10,11,"female",26
"cool",6,6,"female",26
"cool",8,11,"female",22
