"temp","mathcorrect","mathreported","sex","age"
"warm",6,6,"female",23
"warm",24,27,"female",24
"warm",4,6,"female",22
"warm",9,12,"female",19
"warm",10,13,"female",20
"warm",15,15,"female",25
"warm",6,14,"female",43
"warm",15,17,"female",21
"warm",7,7,"female",26
"warm",14,19,"female",27
"warm",15,16,"female",23
"warm",12,12,"female",21
"warm",12,13,"female",25
"warm",14,17,"female",26
"warm",1,6,"female",30
"warm",12,16,"female",24
"warm",16,19,"female",23
"warm",10,12,"female",27
"warm",10,10,"female",24
"warm",12,13,"female",27
"warm",10,12,"female",33
"warm",4,7,"female",38
"warm",14,17,"female",25
"warm",3,11,"female",28
"warm",5,7,"female",29
"warm",12,12,"female",21
"warm",19,20,"female",28
"warm",14,15,"female",21
"warm",10,10,"female",20
"warm",9,13,"female",29
"warm",6,7,"female",22
"warm",6,10,"female",31
"warm",12,13,"female",24
"warm",9,11,"female",26
"warm",6,10,"female",27
"warm",17,19,"female",31
"warm",15,16,"female",26
"warm",9,15,"female",22
"warm",5,6,"female",27
"warm",11,12,"female",23
"warm",10,11,"female",31
"warm",13,17,"female",20
"warm",7,9,"female",19
"warm",5,7,"female",24
"warm",12,13,"female",29
"warm",17,18,"female",26
"warm",14,15,"female",19
"warm",9,12,"female",27
"warm",13,14,"female",24
"warm",11,14,"female",19
"warm",10,12,"female",20
"warm",13,15,"female",23
"warm",7,13,"female",20
"warm",4,7,"female",19
"warm",7,9,"female",20
"warm",8,12,"female",20
"warm",16,16,"female",21
"warm",9,12,"female",19
