"Bayer.name","Spectral.type","Visual.mag","Absolute.mag","Distance"
"Alpha Canis Majoris","A",-1.46,1.43,9
"Alpha Carinae","F",-0.73,-5.64,310
"Alpha Centauri","G",-0.29,4.06,4
"Alpha Boötis","K",-0.05,-0.31,37
"Alpha Lyrae","A",0.03,0.58,25
"Alpha Aurigae","G",0.07,-0.49,42
"Beta Orionis","B",0.15,-6.72,770
"Alpha Canis Minoris","F",0.36,2.64,11
"Alpha Eridani","B",0.45,-2.77,144
"Alpha Orionis","M",0.55,-5.04,430
"Beta Centauri","B",0.61,-5.42,530
"Alpha Aquilae","A",0.77,2.21,17
"Alpha Crucis","B",0.79,-4.17,320
"Alpha Tauri","K",0.86,-0.64,65
"Alpha Scorpii","M",0.95,-5.39,600
"Alpha Virginis","B",0.97,-3.56,260
"Beta Geminorum","K",1.14,1.07,34
"Alpha Piscis Austrini","A",1.15,1.72,25
"Alpha Cygni","A",1.24,-8.74,3000
"Beta Crucis","B",1.26,-3.91,350
"Alpha Leonis","B",1.36,-0.52,78
"Epsilon Canis Majoris","B",1.5,-4.1,430
"Alpha Geminorum","A",1.58,0.59,52
"Lambda Scorpii","B",1.62,-5.05,700
"Gamma Crucis","M",1.63,-0.52,88
"Gamma Orionis","B",1.64,-2.72,240
"Beta Tauri","B",1.66,-1.36,130
"Beta Carinae","A",1.67,-0.99,111
"Epsilon Orionis","B",1.69,-6.38,1300
"Alpha Gruis","B",1.74,-0.72,101
"Zeta Orionis","O",1.75,-5.25,820
"Epsilon Ursae Majoris","A",1.77,-0.2,81
"Alpha Persei","F",1.8,-4.49,590
"Alpha Ursae Majoris","K",1.8,-1.09,124
"Gamma Velorum","W",1.81,-5.25,840
"Delta Canis Majoris","F",1.83,-6.87,1800
"Epsilon Sagittarii","B",1.84,-1.39,145
"Eta Ursae Majoris","B",1.86,-0.59,101
"Theta Scorpii","F",1.86,-2.75,270
"Epsilon Carinae","K",1.87,-4.57,630
"Beta Aurigae","A",1.9,-0.1,82
"Alpha Trianguli Australis","K",1.92,-3.61,420
"Gamma Geminorum","A",1.93,-0.6,105
"Alpha Pavonis","B",1.93,-1.82,180
"Delta Velorum","A",1.95,0.01,80
"Beta Canis Majoris","B",1.98,-3.95,500
"Alpha Hydrae","K",1.98,-1.7,180
"Alpha Ursae Minoris","F",1.99,-3.62,430
"Gamma Leonis","K",2,-0.93,126
"Alpha Arietis","K",2.01,0.48,66
"Beta Ceti","K",2.04,-0.3,96
"Sigma Sagittarii","B",2.05,-2.14,220
"Theta Centauri","K",2.06,0.7,61
"Alpha Andromedae","B",2.07,-0.3,97
"Beta Andromedae","M",2.07,-1.86,200
"Kappa Orionis","B",2.07,-4.65,720
"Beta Ursae Minoris","K",2.07,-0.87,127
"Beta Gruis","M",2.07,-1.52,170
"Alpha Ophiuchi","A",2.08,1.3,47
"Beta Persei","B",2.09,-0.18,93
"Gamma Andromedae","K",2.1,-3.08,360
"Beta Leonis","A",2.14,1.92,36
"Gamma Cassiopeiae","B",2.15,-4.22,610
"Gamma Centauri","A",2.2,-0.81,130
"Zeta Puppis","O",2.21,-5.95,1400
"Iota Carinae","A",2.21,-4.42,690
"Alpha Coronae Borealis","A",2.22,0.42,75
"Lambda Velorum","K",2.23,-3.99,570
"Zeta Ursae Majoris","A",2.23,0.33,78
"Gamma Cygni","F",2.23,-6.12,1500
"Alpha Cassiopeiae","K",2.24,-1.99,230
"Gamma Draconis","K",2.24,-1.04,148
"Delta Orionis","O",2.25,-4.99,920
"Beta Cassiopeiae","F",2.28,1.17,55
"Epsilon Centauri","B",2.29,-3.02,380
"Delta Scorpii","B",2.29,-3.16,400
"Epsilon Scorpii","K",2.29,0.78,65
"Alpha Lupi","B",2.3,-3.83,550
"Eta Centauri","B",2.33,-2.55,310
"Beta Ursae Majoris","A",2.34,0.41,79
"Epsilon Boötis","K",2.35,-1.69,210
"Epsilon Pegasi","K",2.38,-4.19,670
"Kappa Scorpii","B",2.39,-3.38,460
"Alpha Phoenicis","K",2.4,0.52,77
"Gamma Ursae Majoris","A",2.41,0.36,84
"Eta Ophiuchi","A",2.43,0.37,84
"Beta Pegasi","M",2.44,-1.49,200
"Eta Canis Majoris","B",2.45,-7.51,3000
