"X","state","country_code","shape","duration_seconds","summary","day_part","latitude","longitude","timezone","population","elevation_m","month","cyear"
1,"BC","CA","disk",180,"You spend a good part of your life a non-believer, until one day you see something that will change your view forever!!","nautical dusk",49.47512,-123.75903,"America/Vancouver",8832,32,5,"1980-2000"
2,"FL","US","disk",300,"I was following it in my car for a short period of time and watched it disappear before my eyes, it was a clear morning. It amazed me.","morning",28.01888,-82.11469,"America/New_York",37406,39,10,"1980-2000"
3,"CA","US","disk",60,"3 craft seen in day light, very low altitude and as clear in detail and color as a car on the road.","afternoon",37.22661,-121.97468,"America/Los_Angeles",30705,105,9,"-1960"
4,"FL","US","disk",1800,"We saw this light very low in the sky and asked if they could also see it....  ((NUFORC Note:  Sirius??  PD))","night",26.62535,-81.6248,"America/New_York",86784,6,4,"2000+"
5,"CA","US","disk",300,"The object rose from the invertion covered horizon as if it was using the combined smog and partial cloud layer for concealment.  The c","afternoon",39.14573,-121.59135,"America/Los_Angeles",12216,19,7,"1980-2000"
6,"FL","US","disk",60,"UFO SIGHTED ABOVE MY LAKE IN OAKLAND PARK, FL, JULY 20.","night",26.17231,-80.13199,"America/New_York",44319,1,7,"2000+"
7,"AU","AU","disk",600,"a disk shaped ship with a black dot in the centre.the craft was gray & moved rather slowly across the sky.","morning",-37.814,144.96332,"Australia/Melbourne",4917750,3,6,"1980-2000"
8,"CA","US","disk",45,"UFO exiting our atmosphere.","night",37.95215,-122.5572,"America/Los_Angeles",6485,35,8,"2000+"
9,"FL","US","disk",18000,"No one is able to believe","nautical dusk",25.77427,-80.19366,"America/New_York",441003,2,7,"-1960"
10,"TX","US","disk",480,"I was in the traffic line looked up saw this craft and another craft eject from the main one","afternoon",30.09716,-95.61605,"America/Chicago",11540,57,4,"2000+"
11,"ENG","GB","disk",300,"silver disc very high up in the sky west yorkshire england","afternoon",53.68331,-1.49768,"Europe/London",109766,46,8,"2000+"
12,"CA","US","disk",1800,"My description is the most ultra silver color that you can ever imagine, silver as being.  The brighest of silver ever.  The brightest","afternoon",33.46697,-117.69811,"America/Los_Angeles",34181,44,2,"2000+"
13,"TX","US","disk",180,"Disk or Saucer moving south to north in Dallas, Texas.","afternoon",32.78306,-96.80667,"America/Chicago",1300092,128,5,"2000+"
14,"CA","US","disk",600,"8/04/05   3:57 PM  San Francisco, CA  4 round silver disks  Sighting lasted 10 minutes","night",37.77493,-122.41942,"America/Los_Angeles",864816,16,8,"2000+"
15,"WA","US","disk",1200,"Many sighting in the sky","night",47.60621,-122.33207,"America/Los_Angeles",737015,56,4,"1960-1980"
16,"NY","US","disk",1200,"Two UFO sightings while looking at and from the Statue Of Liberty.","night",40.71427,-74.00597,"America/New_York",8804190,10,3,"2000+"
17,"CA","US","disk",86400,"Unidentified Celestial Object over San Pedro, CA.  ((NUFORC Note:  Sighting of the star, Sirius.  PD))","night",33.73585,-118.29229,"America/Los_Angeles",78405,34,1,"2000+"
18,"TX","US","disk",300,"((HOAX??))  Aliens at Fredricksburg.","night",30.2752,-98.87198,"America/Chicago",11094,516,4,"2000+"
19,"TX","US","disk",6,"3 amber colored disks flying W NW in a vertically stacked formation at 7000 feet - not glowing but illuminated....","night",32.8343,-97.2289,"America/Chicago",69204,184,11,"2000+"
20,"FL","US","disk",60,"UFO over highway in Orlando, Florida, April 1st 2012!","morning",28.53834,-81.37924,"America/New_York",307573,30,4,"2000+"
21,"TX","US","disk",300,"Laredo Texas sighting November 2006","morning",27.50641,-99.50754,"America/Chicago",255473,126,11,"2000+"
22,"NY","US","disk",5,"Large metalic object hovering 30-50ft off the ground,short beam coming down to ground.","night",40.66288,-73.55152,"America/New_York",22097,4,10,"2000+"
23,"CA","US","disk",240,"We saw a subject size if a helycopter, round and it had a whole in the midle, it  looked like a donut,block and you cood see sky throoh","afternoon",34.05223,-118.24368,"America/Los_Angeles",3898747,89,1,"2000+"
24,"CA","US","disk",300,"Silver/chrome saucer. After the sighting I felt nauseas","afternoon",34.05223,-118.24368,"America/Los_Angeles",3898747,89,9,"2000+"
25,"FL","US","disk",120,"noted a disc shaped object 40-50 ft in diameter flying towards macdill AFB at liw and at very high speeds.","afternoon",27.77086,-82.67927,"America/New_York",257083,13,1,"2000+"
26,"NY","US","disk",180,"7-12 crafts hover in clouds (with a noise) and silent in blue skies","afternoon",40.76926,-73.11511,"America/New_York",10180,20,6,"2000+"
27,"NY","US","disk",900,"1/2 mile wide Disk hovering at an altitude of 1,250 ft","astronomical dawn",40.73843,-73.05067,"America/New_York",8896,5,5,"1980-2000"
28,"ON","CA","disk",1200,"I saw coloured lights in the sky outside through my window when I woke up at 5:30am","nautical dawn",43.5789,-79.6583,"America/Toronto",668549,187,7,"2000+"
29,"CA","US","disk",6,"BRIGHT OBJECT ENTERS VALLEY WHILE WE ARE ON THE PLAYGROUND.","morning",39.79327,-123.24922,"America/Los_Angeles",1255,426,5,"1960-1980"
30,"CA","US","disk",10,"It was a large, round, very shiny with little black jets and a small dome on top.  It was rotating and it made no sound at all.","morning",34.25723,-118.6012,"America/Los_Angeles",41255,298,6,"2000+"
31,"WA","US","disk",30,"From a distance of 3 miles,  I saw two silver colored suacer-shaped objects engaged in aerobatics  before disappearing into a cloud","afternoon",47.32926,-122.58013,"America/Los_Angeles",8753,9,4,"1980-2000"
32,"ON","CA","disk",10,"4 saucer like objects","afternoon",43.10012,-79.06627,"America/Toronto",82000,130,3,"2000+"
33,"CA","US","disk",1200,"Strange craft seen over Del Mar Fair.","night",32.95949,-117.26531,"America/Los_Angeles",4351,34,7,"2000+"
34,"BC","CA","disk",60,"A little disc zoomed out of the bushes and right over my vehicle","afternoon",53.9166,-122.75301,"America/Vancouver",74003,6,8,"2000+"
35,"CA","US","disk",1200,"Aircraft was hovering about 20 ft. sucking water from canal.","night",32.97866,-115.53027,"America/Los_Angeles",25897,-34,8,"1960-1980"
36,"ON","CA","disk",900,"On investigation of explosive sounds outside my window, I saw an object on the horizon which came closer and appeared to be a ufo.","night",43.70011,-79.4163,"America/Toronto",2600000,85,3,"2000+"
37,"ENG","GB","disk",12,"IT ALL HAPPENED SO FAST AND I WAS SCARED!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","night",52.18446,-0.68759,"Europe/London",0,216,3,"2000+"
38,"NY","US","disk",180,"A disk with two blues lights in New York,Levittown.","morning",40.72593,-73.51429,"America/New_York",51881,25,5,"2000+"
39,"FL","US","disk",840,"It was way higher than the plane","afternoon",28.53834,-81.37924,"America/New_York",307573,30,3,"2000+"
40,"FL","US","disk",180,"On 07/31/15 at approximately 11:10 PM I decided to go out and check to see if the night sky was clear enough to observe the Blue Moon.","night",28.53834,-81.37924,"America/New_York",307573,30,8,"2000+"
41,"TX","US","disk",3,"Giant neon pink, red and orange saucer appears and disappears instantly in Fulshear, Texas.","night",29.68996,-95.89968,"America/Chicago",5886,40,7,"2000+"
42,"WA","US","disk",3,"Fast-moving saucer-shaped white light","nautical dusk",47.48288,-122.21707,"America/Los_Angeles",100242,12,10,"2000+"
43,"CA","US","disk",300,"I witnessed disc/saucershaped object over Angeles forest. I was looking towards NEt from west la parking garage.  ((anonymous))","morning",34.05223,-118.24368,"America/Los_Angeles",3898747,89,1,"2000+"
44,"TX","US","disk",300,"UFO spotted in air past DFW airport---not a plane or hot air balloon","afternoon",32.78306,-96.80667,"America/Chicago",1300092,128,1,"2000+"
45,"CA","US","disk",86400,"I usually jog around Laguna Beach in the morning, when all of a sudden I noticed a blinding blue light. As it came closer I noticed it","morning",33.54225,-117.78311,"America/Los_Angeles",23365,6,5,"1980-2000"
46,"WA","US","disk",40,"In total five objects in flight four small possibly air plain size other one large seemed to hover with flashing lights","night",46.60207,-120.5059,"America/Los_Angeles",93701,326,8,"2000+"
47,"CA","US","disk",300,"Saucer shaped ufo hovering in Oakdale, CA, and shoots off in sky and disappears.","nautical dawn",37.76659,-120.84715,"America/Los_Angeles",22259,48,8,"2000+"
48,"TX","US","disk",900,"disk shaped object with cluster of lights","night",29.78579,-95.8244,"America/Chicago",16158,42,10,"1980-2000"
49,"NY","US","disk",60,"I saw a very large disk shaped object in the sky over N.Y.C.","night",40.71427,-74.00597,"America/New_York",8804190,10,9,"2000+"
50,"FL","US","disk",3,"I often don't sleep well, so go outside at night to look at the stars.  I noticed that there were some clouds to the southeast, but non","night",28.36472,-82.19592,"America/New_York",6955,36,11,"2000+"
51,"FL","US","disk",180,"Disk in the sky above city","afternoon",30.16607,-81.70648,"America/New_York",8702,4,7,"2000+"
52,"CA","US","disk",35,"Amber cigar shaped object with segmented light in zig zag pattern, reappearing 3 miles away in a giant ferris wheel shaped object.","night",32.84755,-115.56944,"America/Los_Angeles",17095,-18,8,"2000+"
53,"TX","US","disk",30,"A glowing green oval-disk shaped object appeared in the sky.","night",32.62791,-96.45582,"America/Chicago",3238,129,11,"2000+"
54,"CA","US","disk",15,"A faint orange illuminate  crescent  that moved   in the sky.","afternoon",37.32328,-121.93162,"America/Los_Angeles",4926,37,5,"1980-2000"
55,"WA","US","disk",40,"Large disk object with two beans of light hovers over with red and orange blinking lights.","night",47.65966,-117.42908,"America/Los_Angeles",213272,571,2,"2000+"
56,"ON","CA","disk",172800,"Three campers and myself witnessed three disk or saucer shaped multicolur emitting objects hovering in the night nky.","night",44.22976,-76.48098,"America/Toronto",114195,70,7,"1980-2000"
57,"AU","AU","disk",1200,"a disc shaped object was seen hovering in the Australian night sky","nautical dusk",-33.86785,151.20732,"Australia/Sydney",5231147,5,7,"2000+"
58,"CA","US","disk",900,"Disc moving westerly in Modesto CA.","night",37.6391,-120.99688,"America/Los_Angeles",211266,28,3,"2000+"
59,"CA","US","disk",300,"Circlulating lights, pulsating yellow squares","night",37.77493,-122.41942,"America/Los_Angeles",864816,16,12,"2000+"
60,"ENG","GB","disk",180,"the craft was large,golden in color,sphere shaped ,travelling fast........","astronomical dusk",51.75368,-0.44975,"Europe/London",85629,46,8,"1980-2000"
61,"ON","CA","disk",15,"A grey saucer like craft no lights , seen in daylight in downtown Toronto.","afternoon",43.70011,-79.4163,"America/Toronto",2600000,169,7,"1980-2000"
62,"FL","US","disk",180,"Orange saucer sighted by two for 4 minutes over western/central FL 8:10pm on 02.02.2014","night",27.29393,-80.35033,"America/New_York",164603,5,2,"2000+"
63,"FL","US","disk",600,"Roughly 1 am, a blinking red beacon became visible, first appearing to move like normal aircraft, suddenly began to zip, then suddenly","night",30.66968,-81.46259,"America/New_York",12339,3,7,"2000+"
64,"NY","US","disk",300,"Saucer pacing an airplane over by Fremont Road.","night",43.06534,-76.07853,"America/New_York",3010,132,9,"2000+"
65,"CA","US","disk",180,"saw what appeared to be saucers,flying at rapid rates of speed,flashing lights on all of them some in a circular motion, others diagona","nautical dusk",35.37329,-119.01871,"America/Los_Angeles",373640,123,8,"2000+"
66,"FL","US","disk",1800,"Oblong disc shape with a light at both ends","nautical dawn",28.03418,-82.6651,"America/New_York",14170,2,5,"2000+"
67,"TX","US","disk",300,"New Years Eve Unkown object in the sky above Downtown Austin Texas","night",30.26715,-97.74306,"America/Chicago",931830,149,1,"2000+"
68,"FL","US","disk",172800,"Object moving unlike any man made object we know of.","night",29.23942,-81.46563,"America/New_York",1772,24,7,"2000+"
69,"CA","US","disk",720,"desert out of los angels duration 12 min 1984 3pm and clear skys 1500 meters ftom me bigger than house disapered  fast","afternoon",34.05223,-118.24368,"America/Los_Angeles",3898747,89,5,"1980-2000"
70,"CA","US","disk",600,"Saucer shaped object spotted day after another sighting of a different unidentified flying object.","morning",35.50051,-119.27178,"America/Los_Angeles",18336,106,7,"2000+"
71,"CA","US","disk",600,"Silver disc/saucer in sky","nautical dusk",34.39888,-119.51846,"America/Los_Angeles",13727,10,4,"2000+"
72,"CA","US","disk",300,"Disk / cigar object hovering east of Big Bear Lake, CA","afternoon",34.2439,-116.91142,"America/Los_Angeles",5213,2058,5,"1960-1980"
73,"NY","US","disk",43200,"Saw object in picture after viewing it on the computer.","afternoon",40.71427,-74.00597,"America/New_York",8804190,10,8,"2000+"
74,"CA","US","disk",8,"I was driving N on I-215 and my 9 year old son shouted from the back, ""Mom, mom what the heck is that?""","afternoon",33.95335,-117.39616,"America/Los_Angeles",322424,252,3,"2000+"
75,"ON","CA","disk",60,"Disc shaped blue light on top white and red on the bottom.","night",45.41117,-75.69812,"America/Toronto",812129,137,1,"2000+"
76,"CA","US","disk",900,"To whom it may concern,","night",35.62246,-117.6709,"America/Los_Angeles",28780,698,8,"1960-1980"
77,"FL","US","disk",17,"YIKES! BELIEVE IT OR NOT, AT 13 I PRAYED TO SEE A UFO AND WITHIN 3-5 MINUTES I HEARD A LOW RUMBLING SOUND FOR 15 SEC. AND THEN SAW A DI","night",27.33643,-82.53065,"America/New_York",55118,7,6,"1980-2000"
78,"CA","US","disk",60,"Circular aircraft with white/blue lights around edges and 2 red lights on opposing sides","night",33.84918,-118.38841,"America/Los_Angeles",68166,19,8,"2000+"
79,"CA","US","disk",4,"Silver disk seen in Burbank, CA 1/16/2007 at 5:50 pm PST","nautical dusk",37.32328,-121.93162,"America/Los_Angeles",4926,37,1,"2000+"
80,"TX","US","disk",120,"ufo's flew about 200 ft from my car. on I-10 on my way back from albuquerque","night",31.75872,-106.48693,"America/Denver",681124,1133,1,"2000+"
81,"NY","US","disk",180,"It was right over my school, it was slowly moving and I believe I saw it spinning slowly. it was fairly low and I could spot some detai","night",40.84288,-73.29289,"America/New_York",36124,40,1,"2000+"
82,"CA","US","disk",5,"(Quoting from a report made separatly by each of us less than 1 hour from the happening) ""My wife and I saw 4 UFO's flying in half wing","nautical dusk",32.84727,-117.2742,"America/Los_Angeles",42808,32,10,"1960-1980"
83,"TX","US","disk",600,"Huge UFO over Fort Worth may 8, 2012","night",32.72541,-97.32085,"America/Chicago",918915,199,5,"2000+"
84,"CA","US","disk",10,"Weird buzzing, and I black out!","night",37.33939,-121.89496,"America/Los_Angeles",1026908,26,3,"2000+"
85,"CA","US","disk",15,"Flying objects over Pleasant Hill, CA  09/14/2008","morning",37.94798,-122.0608,"America/Los_Angeles",34810,16,9,"2000+"
86,"FL","US","disk",1800,"Witnessed saucer from afar glowind with white lights, constantly diming and disapearing ever so often.","night",30.33218,-81.65565,"America/New_York",954614,5,6,"2000+"
87,"FL","US","disk",60,"Black disc shaped saucer seen flying underneath the clouds then shooting up into sky.","afternoon",24.97624,-80.55228,"America/New_York",1885,3,9,"2000+"
88,"WA","US","disk",20,"Disc was flying about 50 yards off the wingtip of an airliner that had just left Seatac airport.","afternoon",47.56732,-122.63264,"America/Los_Angeles",39520,11,4,"1980-2000"
89,"FL","US","disk",180,"Strange Bright Orange Fiery Glow over Tarpon Springs area.","night",28.18779,-82.73955,"America/New_York",22403,5,8,"2000+"
90,"NY","US","disk",60,"While taking pictures of the beautiful colors in the sky from the setting sun, I snapped several pictures.

A couple days later while","afternoon",43.02033,-78.88031,"America/New_York",14907,175,10,"2000+"
91,"WA","US","disk",240,"Sighting: Distance was 1500-2000 feet in altitude, and was around 60 degrees off the horizon. Weather conditions were clear with some l","afternoon",47.60621,-122.33207,"America/Los_Angeles",737015,56,4,"1960-1980"
92,"WA","US","disk",600,"slow moving, low altitude saucer heading N by NW, moving in a straight line, very steady.  The disk seemed to be round but would at tim","civil dawn",47.60621,-122.33207,"America/Los_Angeles",737015,56,6,"1980-2000"
93,"TX","US","disk",1800,"At the corner of South Main and Hillcroft, my mother, sister and I went to a stable to feed our horse. I was 9 years old.","afternoon",29.76328,-95.36327,"America/Chicago",2304580,12,7,"1960-1980"
94,"CA","US","disk",180,"UFO seen flying over Disneyland during fireworks show.","nautical dusk",33.83529,-117.9145,"America/Los_Angeles",350742,48,6,"2000+"
95,"TX","US","disk",5,"Orange fiery disk flying at tree level","night",32.54487,-94.36742,"America/Chicago",23820,126,10,"1980-2000"
96,"TX","US","disk",600,"THE OBJECT APPEARED TO COME DIRECTLY TO MY HOUSE, THEN  LEFT WITH FAST ZIG ZAG SPEED BACK TO SPACE.","afternoon",32.91262,-96.63888,"America/Chicago",236897,168,5,"1960-1980"
97,"CA","US","disk",40,"((NUFORC Note:  Witness apparently reports witnessing a disk-shaped object on this date.))","night",32.84727,-117.2742,"America/Los_Angeles",42808,32,9,"1980-2000"
98,"FL","US","disk",180,"I am just finding out about this place and I wish I would have known years ago I would have called but back then I didnt have a smart","night",27.09978,-82.45426,"America/New_York",22211,3,6,"1980-2000"
99,"BC","CA","disk",30,"While riding in the back seat of a friend's pick up truck on the upper level of the town, overlooking the highway and river, I saw one","astronomical dusk",49.13298,-122.30258,"America/Vancouver",33261,32,5,"2000+"
100,"BC","CA","disk",300,"disk","afternoon",49.20678,-122.91092,"America/Vancouver",58549,32,8,"2000+"
101,"ENG","GB","disk",120,"Me and my friend was walking to a local park when we i randomly looked up into the night sky. i saw something changing colours red blue","civil dusk",52.18446,-0.68759,"Europe/London",0,216,9,"2000+"
102,"FL","US","disk",240,"Disc shaped craft in downtwon Tampa, FL in 1996","morning",27.94752,-82.45843,"America/New_York",384959,1,6,"1980-2000"
103,"NY","US","disk",120,"A disk like object, I could hardly make out a top and bottom projecting about 4 to 6 gentle yellowish lights. Stood still over a nursin","night",43.15478,-77.61556,"America/New_York",209802,154,6,"2000+"
104,"ENG","GB","disk",1800,"A string of light chasing in the sky (Madness)","night",53.41058,-2.97794,"Europe/London",864122,42,12,"2000+"
105,"WA","US","disk",2700,"Bright star blinked out and reappeared in new location twice.","night",47.42346,-120.31035,"America/Los_Angeles",33636,203,4,"2000+"
106,"NY","US","disk",15,"White disk shaped object hanging motionless in the sky then disappeared.","morning",40.94954,-72.58148,"America/New_York",1710,5,11,"2000+"
107,"WA","US","disk",1800,"It looked like the saucer on the USS Enterprise from Star Trek.  It had two disks, one on top of the other.  Also, it had a flashing wh","astronomical dusk",47.76232,-122.2054,"America/Los_Angeles",42939,22,8,"1980-2000"
108,"CA","US","disk",180,"This is a very delayed report: While stationed at the Alameda Naval air station in California. It was I believe early in 1979 when thei","afternoon",37.77099,-122.26087,"America/Los_Angeles",78630,10,6,"1960-1980"
