"utensil","demographic","usage","percent","group"
"can_opener","x18_29","frequently",32,"age"
"can_opener","x30_44","frequently",58,"age"
"can_opener","x45_64","frequently",66,"age"
"can_opener","x65_plus","frequently",68,"age"
"can_opener","x18_29","sometimes",38,"age"
"can_opener","x30_44","sometimes",32,"age"
"can_opener","x45_64","sometimes",27,"age"
"can_opener","x65_plus","sometimes",28,"age"
"can_opener","x18_29","never",14,"age"
"can_opener","x30_44","never",2,"age"
"can_opener","x45_64","never",2,"age"
"can_opener","x65_plus","never",2,"age"
"can_opener","x18_29","dont_own",13,"age"
"can_opener","x30_44","dont_own",6,"age"
"can_opener","x45_64","dont_own",3,"age"
"can_opener","x65_plus","dont_own",1,"age"
"can_opener","x18_29","dont_know",4,"age"
"can_opener","x30_44","dont_know",2,"age"
"can_opener","x45_64","dont_know",1,"age"
"can_opener","x65_plus","dont_know",0,"age"
"can_opener","x18_29","total",101,"age"
"can_opener","x30_44","total",100,"age"
"can_opener","x45_64","total",99,"age"
"can_opener","x65_plus","total",99,"age"
"can_opener","x18_29","N",149,"age"
"can_opener","x30_44","N",218,"age"
"can_opener","x45_64","N",364,"age"
"can_opener","x65_plus","N",264,"age"
"can_opener","lowinc","frequently",58,"income"
"can_opener","midinc","frequently",63,"income"
"can_opener","highinc","frequently",60,"income"
"can_opener","lowinc","sometimes",29,"income"
"can_opener","midinc","sometimes",30,"income"
"can_opener","highinc","sometimes",32,"income"
"can_opener","lowinc","never",4,"income"
"can_opener","midinc","never",4,"income"
"can_opener","highinc","never",5,"income"
"can_opener","lowinc","dont_own",7,"income"
"can_opener","midinc","dont_own",2,"income"
"can_opener","highinc","dont_own",3,"income"
"can_opener","lowinc","dont_know",3,"income"
"can_opener","midinc","dont_know",1,"income"
"can_opener","highinc","dont_know",0,"income"
"can_opener","lowinc","total",101,"income"
"can_opener","midinc","total",100,"income"
"can_opener","highinc","total",100,"income"
"can_opener","lowinc","N",405,"income"
"can_opener","midinc","N",276,"income"
"can_opener","highinc","N",212,"income"
"can_opener","total","frequently",58,"none"
"can_opener","total","sometimes",31,"none"
"can_opener","total","never",5,"none"
"can_opener","total","dont_own",6,"none"
"can_opener","total","dont_know",2,"none"
"can_opener","total","total",102,"none"
"can_opener","total","N",995,"none"
"can_opener","dem","frequently",53,"party"
"can_opener","ind","frequently",53,"party"
"can_opener","rep","frequently",68,"party"
"can_opener","dem","sometimes",33,"party"
"can_opener","ind","sometimes",33,"party"
"can_opener","rep","sometimes",26,"party"
"can_opener","dem","never",7,"party"
"can_opener","ind","never",5,"party"
"can_opener","rep","never",2,"party"
"can_opener","dem","dont_own",6,"party"
"can_opener","ind","dont_own",7,"party"
"can_opener","rep","dont_own",3,"party"
"can_opener","dem","dont_know",2,"party"
"can_opener","ind","dont_know",2,"party"
"can_opener","rep","dont_know",0,"party"
"can_opener","dem","total",101,"party"
"can_opener","ind","total",100,"party"
"can_opener","rep","total",99,"party"
"can_opener","dem","N",348,"party"
"can_opener","ind","N",365,"party"
"can_opener","rep","N",282,"party"
"can_opener","white","frequently",60,"race"
"can_opener","black","frequently",50,"race"
"can_opener","hispanic","frequently",59,"race"
"can_opener","other","frequently",49,"race"
"can_opener","white","sometimes",32,"race"
"can_opener","black","sometimes",29,"race"
"can_opener","hispanic","sometimes",27,"race"
"can_opener","other","sometimes",31,"race"
"can_opener","white","never",4,"race"
"can_opener","black","never",6,"race"
"can_opener","hispanic","never",3,"race"
"can_opener","other","never",11,"race"
"can_opener","white","dont_own",4,"race"
"can_opener","black","dont_own",11,"race"
"can_opener","hispanic","dont_own",9,"race"
"can_opener","other","dont_own",7,"race"
"can_opener","white","dont_know",1,"race"
"can_opener","black","dont_know",4,"race"
"can_opener","hispanic","dont_know",3,"race"
"can_opener","other","dont_know",1,"race"
"can_opener","white","total",101,"race"
"can_opener","black","total",100,"race"
"can_opener","hispanic","total",101,"race"
"can_opener","other","total",99,"race"
"can_opener","white","N",657,"race"
"can_opener","black","N",106,"race"
"can_opener","hispanic","N",148,"race"
"can_opener","other","N",84,"race"
