"","fall_type","name","stream_name","verifiedx","verifiedy","tallest_drop_feet","number_of_drops","source_dataset","source_date","total_height_feet","source_url"
"1","block","Bailey Falls","Bailey Creek",-89.04572879,41.2697688909355,20,1,"World Waterfall Database",2014-01-14,NA,NA
"2","plunge","Borks Waterfall","Regent Creek",-89.02120577,37.5417770009118,50,1,"World Waterfall Database",2014-01-14,NA,NA
"3","plunge","Cedar Falls",NA,-88.73840569,37.5181070100001,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"4","plunge","Happy Hollow Falls","Happy Hollow Creek",-88.97370576,37.5408070009118,50,1,"World Waterfall Database",2014-01-14,NA,NA
"5",NA,"Hennepin Canyon Falls","Hennepin Canyon Creek",-88.95630608,41.3089076800001,NA,NA,NA,NA,NA,NA
"6","tiered","Homan Falls","Homan Creek",-91.40569665,39.99850732,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"7","plunge","Lake Falls",NA,-89.0248061,41.2989576809356,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"8",NA,"Ottawa Canyon Falls","Ottawa Canyon Creek",-88.94721608,41.3065276809356,NA,NA,NA,NA,NA,NA
"9","plunge","Owl Canyon Falls",NA,-88.9644060799999,41.31260768,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"10","plunge","Saint Louis Canyon Falls","Saint Louis Canyon Creek",-89.0055061,41.3181076809357,50,1,"World Waterfall Database",2014-01-14,NA,NA
"11","rapids","Flambeau Falls","Flambeau River",-90.79248713,45.651638260943,NA,NA,NA,NA,NA,NA
"12","cascade","Aurora Canyon Falls",NA,-88.99720609,41.3185076809357,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"13","horsetail","Burden Falls","Burden Creek",-88.6424756599999,37.56370702,40,1,"World Waterfall Database",2014-01-14,NA,NA
"14","horsetail","Falling Springs Falls","Falling Springs",-90.18340618,38.5295071200001,50,1,"World Waterfall Database",2014-01-14,NA,NA
"15","plunge","Tonti Canyon Falls","Tonti Canyon Creek",-88.97382609,41.3115276809356,60,1,"World Waterfall Database",2014-01-14,NA,NA
"16","plunge","Wildcat Canyon Falls","Wildcat Canyon Creek",-88.98330609,41.3163076809357,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"17","block","Anderson Falls","Fall Fork",-85.69881495,39.2367674809245,14,1,"World Waterfall Database",2014-01-14,NA,NA
"18",NA,"Butler Falls",NA,-85.47350484,38.7033973909209,NA,NA,NA,NA,NA,NA
"19","plunge","Clifty Falls","Big Clifty Creek",-85.43639483,38.7661874009213,70,1,"World Waterfall Database",2014-01-14,NA,NA
"20",NA,"Clinton Falls","Little Walnut Creek",-86.96337402,39.7187247409275,20,1,"World Waterfall Database",2014-01-14,NA,NA
"21",NA,"Derbyshire Falls",NA,-85.22070482,39.471407550926,NA,NA,NA,NA,NA,NA
"22","block","Elkhorn Falls","Elkhorn Creek",-84.86487151,39.7788020509279,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"23","fan","France Park Falls",NA,-86.4613976346558,40.7582249953992,15,1,"World Waterfall Database",2014-01-14,NA,NA
"24","plunge","Fremont Falls",NA,-85.46900484,38.6939073909208,118,1,"World Waterfall Database",2014-01-14,NA,NA
"25",NA,"Groundhog Falls","Groundhog Branch",-87.02729537,39.6673074909272,NA,NA,NA,NA,NA,NA
"26","plunge","Hoffman Falls","Hoffman Creek",-85.42280483,38.7528074009212,78,1,"World Waterfall Database",2014-01-14,NA,NA
"27",NA,"Horseshoe Falls","tributary of Happy Valley Creek",-85.45680483,38.723207390921,NA,NA,NA,NA,NA,NA
"28","plunge","Little Clifty Falls","Little Clifty Creek",-85.43418483,38.7664574009213,60,1,"World Waterfall Database",2014-01-14,NA,NA
"29","cascade","Deadman Falls","Deadman Creek",-85.4589048299999,38.72320739,NA,NA,NA,NA,NA,NA
"30","cascade","Harts Falls","Harts Falls Creek",-85.45820483,38.6772073909207,NA,NA,NA,NA,NA,NA
"31","block","Lower Cataract Falls","Mill Creek",-86.81952479,39.4424369809258,30,1,"World Waterfall Database",2014-01-14,NA,NA
"32",NA,"Shanty Falls","Koontz Ditch",-85.86220512,40.7883077609333,NA,NA,NA,NA,NA,NA
"33","plunge","Tunnel Falls","Deans Branch",-85.42829483,38.7611974009213,83,1,"World Waterfall Database",2014-01-14,NA,NA
"34",NA,"Vermillion Falls","Falls Branch",-86.9070553399999,39.70090751,NA,NA,NA,NA,NA,NA
"35",NA,"Wallace Falls",NA,-85.43380483,38.7575074009212,NA,NA,NA,NA,NA,NA
"36","plunge","Williamsport Falls",NA,-87.29271206,40.2859655209307,62,1,"World Waterfall Database",2014-01-14,NA,NA
"37","block","Big Falls","North Loup River",-101.2296593,42.4182479509396,15,1,"World Waterfall Database",2014-01-14,NA,NA
"38","plunge","Hardin Falls",NA,-100.3234094,42.8932071909408,25,1,"World Waterfall Database",2014-01-14,NA,NA
"39",NA,"Horseshoe Falls","North Loup River",-101.1843637,42.4170671609395,NA,NA,NA,NA,NA,NA
"40","horsetail","Fort Falls",NA,-100.4656094,42.9008071809408,30,1,"World Waterfall Database",2014-01-14,NA,NA
"41","block","Norden Falls","Niobrara River",-100.036367628971,42.7865824181984,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"42",NA,"North Branch Dismal River Falls","North Branch Dismal River",-101.065495565607,41.8573268535642,NA,NA,NA,NA,NA,NA
"43",NA,"Rock Falls","North Branch Eagle Creek",-98.78630894,42.6354772609401,NA,NA,NA,NA,NA,NA
"44","block","Snake River Falls","Snake River",-100.8553195,42.6753271209402,23,1,"World Waterfall Database",2014-01-14,NA,NA
"45",NA,"Stairstep Falls",NA,-100.3073094,42.8917071909408,NA,NA,NA,NA,NA,NA
"46","fan","Tyler Falls",NA,-100.4245094,42.9054071809408,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"47","block","Wauneta Falls","Frenchman Creek",-101.369441,40.4200026809314,8,1,"World Waterfall Database",2014-01-14,NA,NA
"48",NA,"Armstrong Creek Falls","Armstrong Creek",-88.44759642,45.606748410943,NA,NA,NA,NA,NA,NA
"49","block","Beartrap Falls","West Branch",-88.67401827,44.9386317109432,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"50",NA,"Bellile Falls","Chippewa River",-91.20805726,45.7548982509429,NA,NA,NA,NA,NA,NA
"51","rapids","Big Bull Falls","Popple River",-88.40853643,45.7971484409428,5,1,"World Waterfall Database",2014-01-14,NA,NA
"52","segmented","Big Eddy Falls","Wolf River",-88.63484639,44.9642883009432,10,1,"World Waterfall Database",2014-01-14,NA,NA
"53",NA,"Big Falls","Jump River",-90.63922705,45.4050782409431,8,NA,"World Waterfall Database",2014-01-14,NA,NA
"54","segmented","Big Smoky Falls","Wolf River",-88.6365764,45.0172183109432,25,1,"World Waterfall Database",2014-01-14,NA,NA
"55","cascade","Apple River Falls","Apple River",-92.71225762,45.1578280609432,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"56","cascade","Big Falls","Eau Claire River",-91.29406716,44.8218081009432,25,1,"World Waterfall Database",2014-01-14,NA,NA
"57","rapids","Big South Falls","South Branch Pike River",-88.03200628,45.4971684209431,10,1,"World Waterfall Database",2014-01-14,NA,NA
"58",NA,"Bull Falls","Pike River",-87.97570991,45.4986137809431,NA,NA,NA,NA,NA,NA
"59","rapids","Bull Falls","North Branch Pike River",-88.12145632,45.595748430943,7,1,"World Waterfall Database",2014-01-14,NA,NA
"60",NA,"Bull Falls","Pine River",-88.40974644,45.8980684509427,5,1,"World Waterfall Database",2014-01-14,NA,NA
"61",NA,"Cato Falls","Manitowoc River",-87.88928606,44.0935682109428,NA,NA,NA,NA,NA,NA
"62","rapids","Chipmunk Falls","North Branch Pike River",-88.01835508,45.538084550943,6,1,"World Waterfall Database",2014-01-14,NA,NA
"63","tiered","Copper Creek Falls","Copper Creek",-92.09822764,46.5497483009418,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"64","segmented","Copper Falls","Bad River",-90.6399902990491,46.372805189337,29,1,"World Waterfall Database",2014-01-14,NA,NA
"65","slide","Daves Falls","Pike River",-87.98835335,45.4961613909431,30,1,"World Waterfall Database",2014-01-14,NA,NA
"66","cascade","Devils River Falls","Devils River",-87.77720606,44.300248250943,NA,NA,NA,NA,NA,NA
"67","rapids","Ducknest Falls","Wolf River",-88.6590364099999,45.0470083100001,6,1,"World Waterfall Database",2014-01-14,NA,NA
"68",NA,"Eagle Creek Falls","Eagle Creek",-88.20119632,45.4109783909431,NA,NA,NA,NA,NA,NA
"69",NA,"East Twin River Falls","East Twin River",-87.66522602,44.277128250943,NA,NA,NA,NA,NA,NA
"70","block","Eightfoot Falls","North Branch Pike River",-88.13446632,45.579138420943,8,1,"World Waterfall Database",2014-01-14,NA,NA
"71","block","Evergreen Falls","Evergreen River",-88.68524642,45.0627783109432,9,1,"World Waterfall Database",2014-01-14,NA,NA
"72","cascade","Eighteenfoot Falls","North Branch Pike River",-88.12961104,45.587091700943,18,1,"World Waterfall Database",2014-01-14,NA,NA
"73","horsetail","Brownstone Falls","Tyler Forks River",-90.6362259666427,46.3748254200396,30,1,"World Waterfall Database",2014-01-14,NA,NA
"74",NA,"Fall Creek Falls","Fall Creek",-91.85616731,44.6972280509432,NA,NA,NA,NA,NA,NA
"75","block","Fonferek Falls","Bower Creek",-87.93875542,44.4245253009431,30,1,"World Waterfall Database",2014-01-14,NA,NA
"76","segmented","Foster Falls","Potato River",-90.458640493364,46.4225476537244,NA,NA,NA,NA,NA,NA
"77","slide","Freeman Falls","Red River",-88.73741833,44.8443246509432,20,1,"World Waterfall Database",2014-01-14,NA,NA
"78",NA,"Gilmer Falls","Red River",-88.72241906,44.8430425109432,3,1,"World Waterfall Database",2014-01-14,NA,NA
"79",NA,"Granite Falls","Bad River",-90.66117718,46.34916837,NA,NA,NA,NA,NA,NA
"80",NA,"Hamilton Falls","North Fork Eau Claire River",-90.9624588029244,44.7963981637212,6,1,"World Waterfall Database",2014-01-14,NA,NA
"81","rapids","Horserace Falls","Menominee River",-88.05350632,45.7807884609428,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"82","slide","Horseshoe Falls","South Branch Pike River",-87.88205623,45.4790584209431,10,1,"World Waterfall Database",2014-01-14,NA,NA
"83","rapids","Jennings Falls","Popple River",-88.36376642,45.8369584509428,NA,NA,NA,NA,NA,NA
"84",NA,"Jerry Chute","Peshtigo River",-88.3153120175936,45.4040583909431,NA,NA,NA,NA,NA,NA
"85","slide","Keshena Falls","Wolf River",-88.65262639,44.8926182909432,20,1,"World Waterfall Database",2014-01-14,NA,NA
"86","rapids","Kimball Falls","Montreal River",-90.2639425844988,46.4859807056757,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"87","plunge","Kittell Falls",NA,-87.96970613,44.4238082509431,17,1,"World Waterfall Database",2014-01-14,NA,NA
"88","rapids","LaSalle Falls","Pine River",-88.2900157,45.8309629409428,20,1,"World Waterfall Database",2014-01-14,NA,NA
"89",NA,"Little Bull Falls","Yellow River",-90.13040678,44.4674781309431,NA,NA,NA,NA,NA,NA
"90",NA,"Little Bull Falls","Red River",-88.71790013,44.8403781509432,NA,NA,NA,NA,NA,NA
"91",NA,"Little Bull Falls","Popple River",-88.45763644,45.7658084309428,6,1,"World Waterfall Database",2014-01-14,NA,NA
"92",NA,"Little Falls","Little Wolf River",-89.00097757,44.6077125409432,NA,NA,NA,NA,NA,NA
"93","segmented","Little Falls","South Fork Flambeau River",-90.73825711,45.643778260943,10,1,"World Waterfall Database",2014-01-14,NA,NA
"94","segmented","Little Manitou Falls","Black River",-92.12651764,46.5215982909418,31,1,"World Waterfall Database",2014-01-14,NA,NA
"95","cascade","Little Sioux River Falls","Little Sioux River",-90.92247732,46.7287784109414,NA,NA,NA,NA,NA,NA
"96",NA,"Lower Cato Falls","Manitowoc River",-87.84442605,44.0917082109428,NA,NA,NA,NA,NA,NA
"97","rapids","Meyers Falls","Pine River",-88.44580646,45.9016584509427,7,1,"World Waterfall Database",2014-01-14,NA,NA
"98","block","Misicot Falls","Menominee River",-87.9470232118883,45.7571231427131,8,1,"World Waterfall Database",2014-01-14,NA,NA
"99","fan","Montreal Falls","Montreal River",-90.20063706,46.4755384209419,25,1,NA,2020-03-21,25,"https://www.worldwaterfalldatabase.com/waterfall/Montreal-Falls-13226"
"100",NA,"Neshota River Falls","Neshota River",-87.7615646332653,44.304596190394,NA,NA,NA,NA,NA,NA
"101","slide","Parfreys Glen Waterfall","Parfreys Glen Creek",-89.64139651,43.4193179909419,6,1,"World Waterfall Database",2014-01-14,NA,NA
"102","rapids","Peavey Falls","West Branch Wolf River",-88.7697195084391,44.9656521435165,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"103","rapids","Pemene Falls","Menominee River",-87.77719621,45.593998450943,10,1,NA,2020-03-21,10,"https://www.worldwaterfalldatabase.com/waterfall/Pemene-Falls-13252"
"104","block","Peterson Falls","Montreal River",-90.19319706,46.4723784209419,15,1,NA,2020-03-21,15,"https://www.worldwaterfalldatabase.com/waterfall/Peterson-Falls-13253"
"105",NA,"Pipestone Falls","Pipestone Creek",-91.23683728,45.8551982600001,NA,NA,NA,NA,NA,NA
"106",NA,"Polly Falls","Robinson Creek",-90.80709694,44.1967880400001,NA,NA,NA,NA,NA,NA
"107","rapids","Quiver Falls","Menominee River",-87.8246017754362,45.6539414611085,5,1,NA,2020-03-21,5,"https://www.worldwaterfalldatabase.com/waterfall/Quiver-Falls-13268"
"108",NA,"Rainbow Falls","West Branch Wolf River",-88.79255644,44.9746182909432,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"109","rapids","Rib Falls","Big Rib River",-89.9071543842229,44.9728780492326,NA,NA,NA,NA,NA,NA
"110","rapids","Rice Lake Falls","Turtle River",-90.08479699,46.1843683909424,NA,NA,NA,NA,NA,NA
"111","rapids","Rock Cut Falls","West Fork Montreal River",-90.25259708,46.45846842,NA,NA,NA,NA,NA,NA
