"session","temp","crt","mathreported","mathcorrect","mathmistakes","wordstotalreported","wordstotalcorrect","wordsmistakes","repeats","word2","word3","word4","word5","word6","word7","word8","word9","male","age","majorecon","nativegerman","enjoymath","enjoywords","strongme","cool","normal","warm","hot","month"
1,19.1000003814697,0,13,12,1,24,21,3,0,3,3,6,5,4,0,0,0,0,32,1,1,5,9,9,1,0,0,0,9
1,19.1000003814697,2,16,13,3,23,23,0,0,1,7,11,2,2,0,0,0,1,24,1,1,10,10,10,1,0,0,0,9
1,19.1000003814697,0,23,19,4,25,25,0,0,4,7,9,5,0,0,0,0,1,28,0,1,1,8,10,1,0,0,0,9
1,19.1000003814697,2,15,14,1,16,15,1,0,1,3,4,4,3,0,0,0,0,28,0,1,6,8,6,1,0,0,0,9
1,19.1000003814697,1,19,15,4,26,26,0,0,4,6,10,3,3,0,0,0,0,23,0,0,2,8,7,1,0,0,0,9
1,19.1000003814697,3,17,14,3,23,22,1,0,1,5,10,6,0,0,0,0,0,22,0,0,7,5,8,1,0,0,0,9
1,19.1000003814697,3,13,12,1,17,11,6,0,0,4,3,2,2,0,0,0,1,25,0,1,4,6,7,1,0,0,0,9
1,19.1000003814697,3,13,11,2,30,30,0,0,1,10,10,6,3,0,0,0,0,19,1,1,2,4,8,1,0,0,0,9
1,19.1000003814697,2,11,10,1,11,10,1,0,1,1,2,4,2,0,0,0,1,25,0,0,8,8,10,1,0,0,0,9
1,19.1000003814697,3,10,8,2,18,16,2,0,0,2,4,6,4,0,0,0,1,27,0,1,6,10,8,1,0,0,0,9
1,19.1000003814697,3,21,17,4,24,1,23,0,0,0,1,0,0,0,0,0,1,25,1,1,10,5,10,1,0,0,0,9
1,19.1000003814697,3,7,5,2,12,12,0,0,0,5,6,1,0,0,0,0,1,20,0,1,3,8,6,1,0,0,0,9
1,19.1000003814697,3,11,5,6,8,6,2,0,0,0,2,3,1,0,0,0,1,24,1,1,10,10,7,1,0,0,0,9
1,19.1000003814697,3,20,17,3,23,22,0,1,1,4,8,6,3,0,0,0,1,21,1,1,8,6,8,1,0,0,0,9
1,19.1000003814697,3,19,16,3,31,31,0,0,5,12,10,3,1,0,0,0,1,20,1,1,6,6,6,1,0,0,0,9
1,19.1000003814697,3,9,7,2,26,25,1,0,3,7,8,4,3,0,0,0,0,19,0,1,1,8,9,1,0,0,0,9
1,19.1000003814697,2,6,6,0,20,17,3,0,1,7,9,0,0,0,0,0,1,30,1,1,7,8,7,1,0,0,0,9
1,19.1000003814697,3,11,10,1,12,10,2,0,0,3,4,2,1,0,0,0,0,23,0,0,10,10,8,1,0,0,0,9
1,19.1000003814697,2,19,12,7,13,13,0,0,0,1,4,6,1,1,0,0,1,26,1,1,7,9,7,1,0,0,0,9
1,19.1000003814697,3,12,7,5,16,15,1,0,1,6,4,3,1,0,0,0,1,20,1,1,10,10,8,1,0,0,0,9
1,19.1000003814697,2,12,12,0,11,11,0,0,0,5,5,1,0,0,0,0,1,22,0,1,1,5,1,1,0,0,0,9
2,19.3500003814697,2,2,1,1,25,25,0,0,3,8,7,4,3,0,0,0,1,21,0,1,1,10,6,1,0,0,0,9
2,19.3500003814697,1,19,18,1,40,39,1,0,5,9,16,8,1,0,0,0,0,22,0,1,8,8,8,1,0,0,0,9
2,19.3500003814697,3,21,20,1,21,19,2,0,2,7,5,2,2,0,1,0,1,18,0,1,10,10,10,1,0,0,0,9
2,19.3500003814697,2,18,10,8,11,11,0,0,0,1,4,4,2,0,0,0,0,19,0,1,8,3,10,1,0,0,0,9
2,19.3500003814697,3,12,6,6,31,31,0,0,1,10,10,8,2,0,0,0,0,23,1,1,2,8,7,1,0,0,0,9
2,19.3500003814697,3,9,7,2,23,22,1,0,0,5,7,6,4,0,0,0,0,21,1,1,7,10,7,1,0,0,0,9
2,19.3500003814697,3,15,12,3,22,22,0,0,2,9,6,4,1,0,0,0,1,19,1,1,5,5,6,1,0,0,0,9
2,19.3500003814697,1,11,8,3,23,23,0,0,3,9,7,4,0,0,0,0,0,25,0,1,3,4,5,1,0,0,0,9
2,19.3500003814697,3,16,14,2,32,32,0,0,1,7,13,9,2,0,0,0,1,24,0,0,1,4,4,1,0,0,0,9
2,19.3500003814697,2,11,10,1,14,14,0,0,1,10,3,0,0,0,0,0,1,39,0,1,2,5,9,1,0,0,0,9
2,19.3500003814697,1,12,10,2,18,16,2,0,1,3,8,1,3,0,0,0,0,24,1,1,1,3,9,1,0,0,0,9
2,19.3500003814697,2,18,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28,NA,0,6,NA,7,1,0,0,0,9
2,19.3500003814697,1,5,5,0,10,10,0,0,0,4,3,1,1,0,0,1,0,20,1,1,9,8,10,1,0,0,0,9
2,19.3500003814697,3,13,13,0,14,14,0,0,0,5,4,5,0,0,0,0,1,27,0,1,8,8,7,1,0,0,0,9
2,19.3500003814697,3,15,14,1,34,29,5,0,2,8,10,3,5,1,0,0,1,29,0,1,10,9,7,1,0,0,0,9
2,19.3500003814697,3,11,3,8,12,12,0,0,0,1,4,3,3,1,0,0,0,20,1,1,8,5,8,1,0,0,0,9
2,19.3500003814697,2,16,14,2,30,25,5,0,2,10,6,4,2,1,0,0,1,28,1,1,6,6,7,1,0,0,0,9
2,19.3500003814697,3,9,6,3,16,15,1,0,0,5,8,1,1,0,0,0,1,25,0,1,7,3,7,1,0,0,0,9
2,19.3500003814697,2,8,6,2,31,31,0,0,3,7,11,6,4,0,0,0,1,23,0,1,4,10,8,1,0,0,0,9
2,19.3500003814697,3,13,11,2,27,22,5,0,1,5,10,4,1,1,0,0,1,26,0,1,10,10,10,1,0,0,0,9
2,19.3500003814697,2,13,12,1,21,21,0,0,0,0,4,14,3,0,0,0,1,25,0,1,5,5,8,1,0,0,0,9
2,19.3500003814697,3,3,2,1,12,12,0,0,0,2,8,2,0,0,0,0,0,20,0,1,2,5,7,1,0,0,0,9
2,19.3500003814697,3,21,21,0,21,21,0,0,3,6,7,2,3,0,0,0,1,22,1,0,9,7,10,1,0,0,0,9
2,19.3500003814697,3,15,13,2,21,17,4,0,0,2,6,7,2,0,0,0,1,26,1,1,8,7,9,1,0,0,0,9
3,19.1000003814697,0,14,8,6,16,15,1,0,0,2,8,4,1,0,0,0,0,27,0,1,1,3,8,1,0,0,0,9
